t_arrive,p_start,t_inv,t_rise,s_het,pi_i_over_pi_s,dxy_over_pi_i,f1_I,f1_S,ratio,l1_contrast,n
150000.0,0.24,700000.0,50000.0,0.00046211655661800954,0.7130986281849652,1.7804367848440734,0.5106433489499302,0.44220067916309996,1.1547773963539891,0.09424233331478217,64
150000.0,0.28,700000.0,50000.0,0.00045499330159881103,0.7835483226415478,1.6198495041809138,0.4963127459026912,0.4399954462517579,1.1279951875199852,0.10941351233369725,64
150000.0,0.32,700000.0,50000.0,0.00044766638995567793,0.8352368415650918,1.5385344939294248,0.4884466334425776,0.43775337308602325,1.1158032432718517,0.11494322454258758,64
200000.0,0.24,700000.0,50000.0,0.00046211655661800954,0.7314917908167072,1.7562623174450724,0.5195452855841889,0.4342073522772327,1.1965372830731562,0.06210605909999055,64
200000.0,0.28,700000.0,50000.0,0.00045499330159881103,0.7940155852185098,1.6139960116220897,0.5064671817367942,0.4336759296438004,1.167847111442825,0.07467514654498518,64
200000.0,0.32,700000.0,50000.0,0.00044766638995567793,0.8415961867426687,1.5277191251097175,0.4970511220883446,0.43114421931867514,1.152865096681153,0.08032310010089948,64
250000.0,0.24,700000.0,50000.0,0.00046211655661800954,0.7505321700518881,1.7110077517978939,0.5249008990697919,0.42769633295531684,1.2272747242016462,0.03409758379428249,64
250000.0,0.28,700000.0,50000.0,0.00045499330159881103,0.8193939595865687,1.5712100296945037,0.5094039245544673,0.42965814509737726,1.1856028574508148,0.054702785592704736,64
250000.0,0.32,700000.0,50000.0,0.00044766638995567793,0.8370909278159215,1.5375052554297202,0.5051992954383051,0.4284861861355925,1.1790328645004138,0.05670592873004759,64
150000.0,0.24,750000.0,50000.0,0.00046211655661800954,0.6409354737952695,2.1059739268330837,0.537781191681371,0.4441275391543928,1.2108710770453286,0.0422483571812673,64
150000.0,0.28,750000.0,50000.0,0.00045499330159881103,0.7296157364100702,1.8655858455629764,0.5166411709748204,0.4427463794834721,1.166900950330881,0.07116202556673473,64
150000.0,0.32,750000.0,50000.0,0.00044766638995567793,0.7967685787241273,1.698624565561179,0.5050418019009617,0.44390685062875995,1.1377202248300715,0.09149844368068283,64
200000.0,0.24,750000.0,50000.0,0.00046211655661800954,0.6846912650730881,1.9377150447170037,0.5373445256304457,0.4341970114688969,1.2375592448520056,0.026759604351022242,64
200000.0,0.28,750000.0,50000.0,0.00045499330159881103,0.7567951726860314,1.7719194066827724,0.5207565273428955,0.43566457446014395,1.1953152904116513,0.049986849627870485,64
200000.0,0.32,750000.0,50000.0,0.00044766638995567793,0.8177826498568985,1.64814982772243,0.5101796196117314,0.4373050238864467,1.1666447713717731,0.06756110015551232,64
250000.0,0.24,750000.0,50000.0,0.00046211655661800954,0.7312437642141864,1.8132517179800667,0.5339623711025366,0.42929968681833197,1.2437986504483407,0.01845199666536891,64
250000.0,0.28,750000.0,50000.0,0.00045499330159881103,0.7749139756701102,1.7179991780299564,0.5252065408705072,0.43126594047630795,1.2178252247104127,0.026731574045353784,64
250000.0,0.32,750000.0,50000.0,0.00044766638995567793,0.8346669940387311,1.62107206382132,0.5118798773243293,0.4320638711749346,1.1847319608842708,0.050500135036683144,64
150000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.6088742901478629,2.2965333250081525,0.5525778107780455,0.444446171358451,1.2432952433566697,0.019784787883693304,64
150000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.6889115560591372,2.0266499003142684,0.5317496320757951,0.4442814509694808,1.1968756087283121,0.043317227286112286,64
150000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.7165729309012432,1.9802689388309038,0.5312233479260684,0.4457573664383713,1.191732067538391,0.044641984258792046,64
200000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.6507593276588952,2.1482165938637197,0.5532973408281658,0.4366308994307055,1.2671969426569996,0.027284737367654608,64
200000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.7276957705922897,1.9208019458481504,0.534589796154627,0.43734223358348107,1.2223603281446704,0.02453042884756558,64
200000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.801634787159964,1.7528510571749012,0.5189076097066058,0.4384531741521883,1.183496072779009,0.049223276226637726,64
250000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.6722741984336639,2.086152749075608,0.5570315418838159,0.43154230717523995,1.2907924266568318,0.04084632208167916,64
250000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.7359572247116679,1.8975395104872783,0.5404392987143727,0.43290032914204857,1.248415079252659,0.011741328346200184,64
250000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.8088119603134444,1.7613082718891167,0.5256731864845712,0.4347230190915288,1.209214059064798,0.02823181254938763,64
