rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
200,2938,24,100024,316,0.25,0.6045490400956486,2.1692745127215782,0.005515141134156674,0.009122735739162032,0.011963855096388452,0.3882458139376217
200,2938,25,100025,284,0.18,0.677006302909686,1.8484357561004756,0.0057343113641471375,0.008470100410441979,0.010599506162102864,0.32994936002890796
200,2938,26,100026,280,0.21,0.6927439995674413,1.7857651203540672,0.005615738110598893,0.008106512815853239,0.010028389242950554,0.31582976119030415
200,2938,27,100027,315,0.23,0.6117791826971665,2.1204556274253643,0.005385906422457042,0.008803677167817412,0.011420575582285446,0.37877108346955646
200,2938,28,100028,342,0.22,0.6840388454337233,1.9732022825616224,0.005716620216344604,0.008357157279159944,0.01128004805942909,0.37616500296112854
200,2938,29,100029,311,0.27,0.7203198591710943,1.8855241822693158,0.005799330322392239,0.008051048778615932,0.010934777563838274,0.366682174367593
200,2938,30,100030,315,0.2,0.6356414368655419,2.134755448199032,0.005179465453447588,0.008148407503117528,0.011056892095505907,0.3973047380112241
200,2938,31,100031,353,0.29,0.6802645325532681,1.9326478215040555,0.005758117264827849,0.00846452664997195,0.011128412787834432,0.36097608050862495
200,2938,32,100032,316,0.27,0.6826961236130449,1.9350668075062138,0.006697028362408876,0.009809676854419611,0.012959197293025112,0.36312779088127956
200,2938,33,100033,313,0.24,0.694749981521672,1.9441911054228056,0.005920455987889598,0.008521707298102196,0.011510497871702146,0.3726525365381037
200,2938,34,100034,334,0.21,0.6139843254269971,2.131265967075352,0.005684607363510373,0.009258554539738449,0.012115410210035604,0.38329938300929767
200,2938,35,100035,335,0.31,0.6512144337125152,1.9832930252946543,0.0053141639800058284,0.00816039034901339,0.010539544356817641,0.3607620086392527
200,2938,36,100036,340,0.24,0.6956767533661773,1.956721145085129,0.005799567043483205,0.008336583068818655,0.011348135466322433,0.37715979183305726
200,2938,37,100037,294,0.29,0.6678267816752671,1.9493441538601968,0.005392463219319654,0.008074643556211491,0.010511766651486903,0.359427048657601
200,2938,38,100038,350,0.29,0.7256312743271629,1.9221316623215798,0.00634950068902738,0.008750312884343244,0.012204576314312215,0.3813872278522612
200,2938,39,100039,312,0.21,0.648318466958716,2.0413008166171513,0.00551272999749057,0.008503120423749419,0.011253140245667368,0.37724714545185256
200,2938,40,100040,369,0.38,0.6735867968278819,1.8895681577798549,0.006100471459828527,0.009056696907595932,0.011527256617936773,0.34255092647805596
200,2938,41,100041,312,0.24,0.6601934767889155,1.9624477193379681,0.005669803005021242,0.008588093042964215,0.011126691976299495,0.359293126907997
