t_inv,p_hist,t_decline,t_fall,pi_i_over_pi_s,dxy_over_pi_i,f1_ratio,score,n
800000.0,0.7,100000.0,50000.0,1.333528428954909,1.3344515879281824,0.9101892747852234,0.016042955728913927,48
800000.0,0.7,100000.0,100000.0,1.30754260828797,1.3440744120165788,0.8762215781629407,0.008272388686668648,48
800000.0,0.7,100000.0,200000.0,1.2735504637891053,1.3585274200312305,0.8308608328876125,0.0045340487618048915,48
800000.0,0.7,100000.0,400000.0,1.1604889320328355,1.411142691841036,0.8152801790923968,0.021089324571541432,48
800000.0,0.7,100000.0,600000.0,0.9998377808842617,1.5026619614401568,0.8607615608672263,0.07964632972080256,48
800000.0,0.7,175000.0,50000.0,1.2901753389408739,1.3520457957509044,0.8625812681448121,0.0066880210919349715,48
800000.0,0.7,175000.0,100000.0,1.2766279857114016,1.3605465548710425,0.8400303873585625,0.00484861393670187,48
800000.0,0.7,175000.0,200000.0,1.222894005273508,1.3828550506005346,0.8208490944418115,0.009690928393582014,48
800000.0,0.7,175000.0,400000.0,1.09506019971178,1.4506155319251988,0.8305839455134867,0.03969319809920779,48
800000.0,0.7,175000.0,600000.0,0.9237382312960282,1.5474338808684045,0.89049882242851,0.1244991139329847,48
800000.0,0.7,250000.0,50000.0,1.2613493909394387,1.3651697802348453,0.8284608617345617,0.005420820700305646,48
800000.0,0.7,250000.0,100000.0,1.228433240201501,1.3819781614755857,0.8231834860282664,0.008977074788510342,48
800000.0,0.7,250000.0,200000.0,1.1762212806988346,1.407325300084194,0.8176182153408725,0.017813968331778843,48
800000.0,0.7,250000.0,400000.0,1.029944921832447,1.484900915596734,0.8503849139223841,0.0651095219603179,48
800000.0,0.74,100000.0,50000.0,1.445189236257458,1.3194893961599452,0.9006894561278822,0.018373077117555002,48
800000.0,0.74,100000.0,100000.0,1.4234581725998678,1.3261216919917211,0.8618017227791673,0.007983198276073095,48
800000.0,0.74,100000.0,200000.0,1.3676083344942764,1.3472820892945512,0.8164257654106091,0.0008358272491200707,48
800000.0,0.74,100000.0,400000.0,1.2245318026487615,1.4042171785667135,0.7999210662369257,0.009784567794219757,48
800000.0,0.74,100000.0,600000.0,1.0315009093593004,1.4903199831978409,0.8480889919986251,0.0648848827728922,48
800000.0,0.74,175000.0,50000.0,1.4074454378840933,1.337128014257803,0.8417454225486761,0.0039433963760706495,48
800000.0,0.74,175000.0,100000.0,1.3766936712861824,1.3456080127313663,0.8210058183393142,0.0011526973238992827,48
800000.0,0.74,175000.0,200000.0,1.314909733787476,1.368586512084973,0.8015473724699994,0.0012197819059726479,48
800000.0,0.74,175000.0,400000.0,1.1476019526265033,1.4355615086514255,0.8170341696682072,0.0249174719937877,48
800000.0,0.74,175000.0,600000.0,0.9345966088815999,1.5444688191980511,0.8847673396489506,0.11765672520213286,48
800000.0,0.74,250000.0,50000.0,1.361845719372151,1.3514077129583184,0.8048175630522647,0.0006920883015639588,48
800000.0,0.74,250000.0,100000.0,1.3261859951708013,1.3609993738523964,0.7995646388042552,0.0010196647045255373,48
800000.0,0.74,250000.0,200000.0,1.2500937220611246,1.3927794509249605,0.7988105448579655,0.006374577420738567,48
800000.0,0.74,250000.0,400000.0,1.0748375846322944,1.4722313988127926,0.8364307661275554,0.04774951391873219,48
850000.0,0.7,100000.0,50000.0,1.3736680935790948,1.382279872780367,0.8978374647344243,0.011212413717866234,48
850000.0,0.7,100000.0,100000.0,1.3446455002624431,1.4001641793756539,0.8647432960153558,0.004322815662528525,48
