chrom	win	n_sites	fst
1	0	51	0.025900752621105683
1	100000	718	0.06317141686107156
1	200000	3020	0.036103421904898
1	300000	6066	0.014674384607763226
1	400000	5551	0.03804285822985703
1	500000	5176	0.007856036920787457
1	600000	4911	0.030221946906547968
1	700000	6506	0.012112466438722793
1	800000	7242	0.008153587309794132
1	900000	7210	0.007220228257255721
1	1000000	7092	0.009422845704778814
1	1100000	7026	0.010151472523991678
1	1200000	7768	0.006040709450619534
1	1300000	6336	0.0075640501482646776
1	1400000	5461	0.006239096298572404
1	1500000	5465	0.007006081959626005
1	1600000	7201	0.006656659660984465
1	1700000	7837	0.006528795464790813
1	1800000	6335	0.005386498685778437
1	1900000	7187	0.009682909038684158
1	2000000	7482	0.012666119941450345
1	2100000	7169	0.007403399256430062
1	2200000	7347	0.007038801013800152
1	2300000	6030	0.008489283948227375
1	2400000	6097	0.006339278808894655
1	2500000	7109	0.01016780466761434
1	2600000	6441	0.01051038893288427
1	2700000	6424	0.009949825819683683
1	2800000	7161	0.006638033657940559
1	2900000	8261	0.008801041781392634
1	3000000	7592	0.005240796872980366
1	3100000	7256	0.004722152419534936
1	3200000	7953	0.00933850249569285
1	3300000	8148	0.013112090872429661
1	3400000	8817	0.012038456296058408
1	3500000	9141	0.012046336808905865
1	3600000	8322	0.029765107862453306
1	3700000	9452	0.008756143649441528
1	3800000	7952	0.013117623840596676
1	3900000	10220	0.013840188202216165
1	4000000	10689	0.016338808605089915
1	4100000	10396	0.018111564624235
1	4200000	11253	0.03315377602164618
1	4300000	11756	0.018003613670439112
1	4400000	10019	0.053564036062973594
1	4500000	10156	0.017600952391193952
1	4600000	11218	0.02162808206691497
1	4700000	10894	0.028426041343409387
1	4800000	10717	0.02379909757745418
1	4900000	11108	0.010771026885612949
1	5000000	11276	0.018824239472435614
1	5100000	10895	0.01667468333806661
1	5200000	11812	0.013019978963658443
1	5300000	11139	0.01234419038107832
1	5400000	11741	0.016469329999688854
1	5500000	11421	0.012533206591056417
1	5600000	12317	0.010855881566032618
1	5700000	10486	0.01960814380811497
1	5800000	9612	0.009551839936083445
1	5900000	9943	0.011547781019526462
1	6000000	10459	0.014881368812401014
1	6100000	8305	0.012132587504064195
1	6200000	8573	0.008042069655006477
1	6300000	8094	0.008405307356738709
1	6400000	7722	0.007186143634117775
1	6500000	8206	0.0068220393725730395
1	6600000	7898	0.007527091375443625
1	6700000	7963	0.00790527166514774
1	6800000	8055	0.005660502618329819
1	6900000	7283	0.01452971806738422
1	7000000	7883	0.006954064333617992
1	7100000	8073	0.012605365051236512
1	7200000	5877	0.03594272552636984
1	7300000	8795	0.015251265061145089
1	7400000	8848	0.007399087257052556
1	7500000	9222	0.018025874208514946
1	7600000	9216	0.012285499292552392
1	7700000	8704	0.009040005738661294
1	7800000	8552	0.018590344244045657
1	7900000	9346	0.014582937839683174
1	8000000	9691	0.011169895377156451
1	8100000	8985	0.009363287738936249
1	8200000	9266	0.011785906435569333
1	8300000	9273	0.013033732100061462
1	8400000	8747	0.007780175468847896
1	8500000	8692	0.008614924565238869
1	8600000	8302	0.009740205611927769
1	8700000	7633	0.01809151191101178
1	8800000	8087	0.029885225756701456
1	8900000	8216	0.008081345162880267
1	9000000	8149	0.007864755348454244
1	9100000	8350	0.008870072828834247
1	9200000	7976	0.009069277443792635
1	9300000	8283	0.01111128654898325
1	9400000	7479	0.007625518187362363
1	9500000	6273	0.0066879787294214345
1	9600000	7395	0.024414658568112205
1	9700000	8587	0.016306309982671942
1	9800000	9116	0.021744130601427974
1	9900000	8625	0.01472587426474347
1	10000000	9282	0.009715692639119613
1	10100000	7900	0.009459230902654922
1	10200000	8528	0.017462432258917575
1	10300000	7952	0.024601962405563216
1	10400000	7539	0.006914260493605969
1	10500000	7318	0.00861184638729372
1	10600000	7387	0.010567671953276672
1	10700000	6720	0.00915619727353853
1	10800000	6498	0.0066345532762810714
1	10900000	7836	0.010877892685803529
1	11000000	9441	0.006802157127617116
1	11100000	9517	0.00856395770066495
1	11200000	7945	0.0065472387474588885
1	11300000	6200	0.012385864945836668
1	11400000	8532	0.012743160240483593
1	11500000	9141	0.013001123223136256
1	11600000	9047	0.01496285539894279
1	11700000	8056	0.007976877763311891
1	11800000	4020	0.01274934613943556
1	11900000	3742	0.004020100764157967
1	12000000	6714	0.012994455084225254
1	12100000	4896	0.026067892494551912
1	12200000	8539	0.007353702922685973
1	12300000	10795	0.02571639394921117
1	12400000	10877	0.009049929517797203
1	12500000	10417	0.025025248024455587
1	12600000	9938	0.036264322746879296
1	12700000	10138	0.03217312647388913
1	12800000	11261	0.018340773193005457
1	12900000	10424	0.01061858447492077
1	13000000	10661	0.026522588906728973
1	13100000	10351	0.010759593470493586
1	13200000	10115	0.013306747068277744
1	13300000	9871	0.012308127929820814
1	13400000	10086	0.014771949787499324
1	13500000	7455	0.023166019793788427
1	13600000	9086	0.011330063398796206
1	13700000	9193	0.009534366290877228
1	13800000	7792	0.007904730425539762
1	13900000	8166	0.00866845401055615
1	14000000	9249	0.010822542272024322
1	14100000	9118	0.007300118912599245
1	14200000	9432	0.01615020866783257
1	14300000	10093	0.011476763005291055
1	14400000	8460	0.01029645150944532
1	14500000	6839	0.01684488998069431
1	14600000	7943	0.006668727124067394
1	14700000	8201	0.006144254398570259
1	14800000	7973	0.014823272667360781
1	14900000	8391	0.008763086369064997
1	15000000	9694	0.00854255232250807
1	15100000	9032	0.007259351405979886
1	15200000	9376	0.012645723696096883
1	15300000	9326	0.013859083402732493
1	15400000	9867	0.008883388968382758
1	15500000	9316	0.020173568232199714
1	15600000	9547	0.01081245266623578
1	15700000	8883	0.008857242179875538
1	15800000	9343	0.02149751532111866
1	15900000	9360	0.022454122953753708
1	16000000	9505	0.013711525886632743
1	16100000	10079	0.012681013734556771
1	16200000	9367	0.01348171005646077
1	16300000	9265	0.012995408095497539
1	16400000	9309	0.016459455324179594
1	16500000	9612	0.011261526697830333
1	16600000	9202	0.01840058397756136
1	16700000	9168	0.01773674480614368
1	16800000	9135	0.015675358126806028
1	16900000	8019	0.015767026870662393
1	17000000	10010	0.02659403982970338
1	17100000	8022	0.018338833925750826
1	17200000	8441	0.015633887728773353
1	17300000	8608	0.01378164491906115
1	17400000	8502	0.014221866587049388
1	17500000	7178	0.02574465127530446
1	17600000	7600	0.019926508043393083
1	17700000	6206	0.04876442311369548
1	17800000	7219	0.02270301772613664
1	17900000	6823	0.017625205023996268
1	18000000	6630	0.013233811179559588
1	18100000	6351	0.008670999715174117
1	18200000	7398	0.009488580617243336
1	18300000	7476	0.013750252573201787
1	18400000	7402	0.006359002216898203
