go_id	cat	term	k_raw	k_clustered	null_mean_raw	p_window_raw	p_window_clustered	fdr_clustered
GO:0002684	biological_process	positive regulation of immune system process	2	2	2.155	0.556	0.5455	0.99
GO:0031099	biological_process	regeneration	2	1	1.0045	0.2395	0.561	0.99
GO:0090304	biological_process	nucleic acid metabolic process	8	7	9.9305	0.626	0.561	0.99
GO:0055114	biological_process	obsolete oxidation-reduction process	3	3	3.3475	0.6115	0.5625	0.99
GO:0009617	biological_process	response to bacterium	2	2	2.114	0.5805	0.564	0.99
GO:0000977	molecular_function	RNA polymerase II transcription regulatory region sequence-specific DNA binding	2	2	2.166	0.5905	0.5715	0.99
GO:0050776	biological_process	regulation of immune response	2	2	2.243	0.59	0.582	0.99
GO:0005813	cellular_component	centrosome	2	2	2.2205	0.608	0.5855	0.99
GO:0008289	molecular_function	lipid binding	2	2	2.07	0.601	0.588	0.99
GO:1901575	biological_process	obsolete organic substance catabolic process	6	5	6.5135	0.556	0.5905	0.99
GO:0099512	cellular_component	supramolecular fiber	3	2	2.384	0.4175	0.593	0.99
GO:0071345	biological_process	cellular response to cytokine stimulus	2	2	2.3625	0.614	0.5935	0.99
GO:1990904	cellular_component	ribonucleoprotein complex	3	3	3.75	0.6325	0.5945	0.99
GO:0030097	biological_process	hemopoiesis	2	2	2.376	0.6105	0.595	0.99
GO:0016773	molecular_function	phosphotransferase activity, alcohol group as acceptor	2	2	2.133	0.607	0.598	0.99
GO:0099081	cellular_component	supramolecular polymer	3	2	2.4055	0.425	0.599	0.99
GO:0006325	biological_process	chromatin organization	2	2	3.072	0.6195	0.599	0.99
GO:0005856	cellular_component	cytoskeleton	5	5	6.5645	0.7015	0.605	0.99
GO:0051336	biological_process	regulation of hydrolase activity	3	3	3.8635	0.6485	0.606	0.99
GO:0099080	cellular_component	supramolecular complex	3	2	2.475	0.4505	0.6105	0.99
GO:0007017	biological_process	microtubule-based process	3	3	3.7455	0.6625	0.613	0.99
GO:0055085	biological_process	transmembrane transport	4	3	3.979	0.5015	0.6145	0.99
GO:0000976	molecular_function	transcription cis-regulatory region binding	2	2	2.3985	0.6395	0.6215	0.99
GO:0005654	cellular_component	nucleoplasm	8	8	13.053	0.791	0.622	0.99
GO:0098657	biological_process	import into cell	2	2	2.419	0.641	0.6225	0.99
GO:0070013	cellular_component	intracellular organelle lumen	12	10	18.8955	0.7755	0.6225	0.99
GO:0043233	cellular_component	organelle lumen	12	10	18.946	0.7765	0.624	0.99
GO:0031974	cellular_component	membrane-enclosed lumen	12	10	18.9535	0.7765	0.624	0.99
GO:0006915	biological_process	apoptotic process	2	2	2.4085	0.6415	0.626	0.99
GO:0016301	molecular_function	kinase activity	2	2	2.3435	0.6395	0.627	0.99
GO:0120036	biological_process	plasma membrane bounded cell projection organization	5	5	6.533	0.668	0.627	0.99
GO:0030030	biological_process	cell projection organization	5	5	6.576	0.6705	0.6275	0.99
GO:0051345	biological_process	positive regulation of hydrolase activity	2	2	2.464	0.648	0.6285	0.99
GO:0005694	cellular_component	chromosome	3	3	4.69	0.663	0.6325	0.99
GO:0044429	cellular_component	obsolete mitochondrial part	3	3	3.9505	0.653	0.633	0.99
GO:0016310	biological_process	phosphorylation	3	3	3.8795	0.6625	0.6335	0.99
GO:0070925	biological_process	organelle assembly	3	3	3.9975	0.7085	0.6405	0.99
GO:0034654	biological_process	nucleobase-containing compound biosynthetic process	5	4	5.3205	0.5555	0.644	0.99
GO:0048534	biological_process	hematopoietic or lymphoid organ development	2	2	2.652	0.661	0.644	0.99
GO:0034097	biological_process	response to cytokine	2	2	2.642	0.6635	0.647	0.99
GO:0009056	biological_process	catabolic process	6	5	7.3085	0.6175	0.6515	0.99
GO:0006928	biological_process	obsolete movement of cell or subcellular component	5	5	6.746	0.703	0.659	0.99
GO:1990837	molecular_function	sequence-specific double-stranded DNA binding	2	2	2.6465	0.6725	0.6595	0.99
GO:0043168	molecular_function	anion binding	4	4	5.191	0.689	0.6625	0.99
GO:0034220	biological_process	monoatomic ion transmembrane transport	2	2	3.1675	0.6785	0.663	0.99
GO:0071705	biological_process	nitrogen compound transport	6	4	5.9365	0.509	0.664	0.99
GO:0030054	cellular_component	cell junction	2	2	2.498	0.676	0.665	0.99
GO:0002520	biological_process	immune system development	2	2	2.7705	0.68	0.666	0.99
GO:0016477	biological_process	cell migration	3	3	3.8825	0.688	0.6665	0.99
GO:0018130	biological_process	obsolete heterocycle biosynthetic process	6	4	5.732	0.463	0.669	0.99
GO:0010942	biological_process	obsolete positive regulation of cell death	2	2	2.795	0.697	0.672	0.99
GO:0044451	cellular_component	obsolete nucleoplasm part	3	3	4.4005	0.7	0.672	0.99
GO:0043232	cellular_component	intracellular membraneless organelle	10	8	14.8765	0.741	0.6735	0.99
GO:0043228	cellular_component	membraneless organelle	10	8	14.8765	0.741	0.6735	0.99
GO:1901360	biological_process	obsolete organic cyclic compound metabolic process	12	8	14.153	0.6015	0.674	0.99
GO:0044249	biological_process	obsolete cellular biosynthetic process	9	7	12.1815	0.6755	0.674	0.99
GO:0006366	biological_process	transcription by RNA polymerase II	2	2	2.681	0.6895	0.675	0.99
GO:1901576	biological_process	obsolete organic substance biosynthetic process	9	7	12.282	0.687	0.6775	0.99
GO:0016787	molecular_function	hydrolase activity	9	5	7.942	0.388	0.682	0.99
GO:0005739	cellular_component	mitochondrion	4	4	5.98	0.7315	0.6845	0.99
GO:0036094	molecular_function	small molecule binding	3	3	4.263	0.718	0.686	0.99
GO:0006996	biological_process	organelle organization	11	8	14.8465	0.6915	0.687	0.99
GO:0009058	biological_process	biosynthetic process	9	7	12.4765	0.693	0.687	0.99
GO:0045944	biological_process	positive regulation of transcription by RNA polymerase II	3	3	4.1945	0.707	0.6885	0.99
GO:0015031	biological_process	protein transport	3	3	4.587	0.7215	0.6885	0.99
GO:0031981	cellular_component	nuclear lumen	8	8	15.272	0.8425	0.6885	0.99
GO:0019438	biological_process	obsolete aromatic compound biosynthetic process	5	4	5.754	0.61	0.689	0.99
GO:0044446	cellular_component	obsolete intracellular organelle part	16	12	30.3435	0.8625	0.689	0.99
GO:0016604	cellular_component	nuclear body	2	2	2.8675	0.7015	0.6945	0.99
GO:0012501	biological_process	programmed cell death	2	2	2.83	0.7075	0.6965	0.99
GO:0015833	biological_process	peptide transport	3	3	4.67	0.7305	0.6975	0.99
GO:0042886	biological_process	amide transport	3	3	4.7695	0.7415	0.704	0.99
GO:0006139	biological_process	nucleobase-containing compound metabolic process	11	7	12.647	0.587	0.7075	0.99
GO:0001067	molecular_function	transcription regulatory region nucleic acid binding	2	2	2.8655	0.729	0.7075	0.99
GO:0044422	cellular_component	obsolete organelle part	17	12	31.1155	0.8565	0.7075	0.99
GO:0018193	biological_process	peptidyl-amino acid modification	2	2	2.9105	0.728	0.7095	0.99
GO:0016772	molecular_function	transferase activity, transferring phosphorus-containing groups	2	2	2.972	0.727	0.7105	0.99
GO:0000166	molecular_function	nucleotide binding	2	2	3.0735	0.7485	0.715	0.99
GO:1901265	molecular_function	nucleoside phosphate binding	2	2	3.0735	0.7485	0.715	0.99
GO:0008219	biological_process	cell death	2	2	2.9465	0.731	0.72	0.99
GO:0007507	biological_process	heart development	2	2	2.9505	0.744	0.722	0.99
GO:0046483	biological_process	obsolete heterocycle metabolic process	11	7	13.3895	0.624	0.7315	0.99
GO:0070727	biological_process	cellular macromolecule localization	4	4	6.617	0.7865	0.7315	0.99
GO:0045184	biological_process	establishment of protein localization	3	3	5.055	0.768	0.7325	0.99
GO:0044248	biological_process	cellular catabolic process	5	4	6.8585	0.692	0.733	0.99
GO:0043207	biological_process	response to external biotic stimulus	2	2	3.0535	0.751	0.7355	0.99
GO:0051707	biological_process	response to other organism	2	2	3.0535	0.751	0.7355	0.99
GO:0005829	cellular_component	cytosol	10	8	17.416	0.788	0.7365	0.99
GO:0044428	cellular_component	obsolete nuclear part	8	8	16.7175	0.881	0.739	0.99
GO:0003676	molecular_function	nucleic acid binding	5	5	9.16	0.7965	0.7395	0.99
GO:0140110	molecular_function	transcription regulator activity	3	3	5.071	0.78	0.7425	0.99
GO:0048870	biological_process	cell motility	3	3	4.495	0.7615	0.743	0.99
GO:0051674	biological_process	localization of cell	3	3	4.5125	0.7615	0.743	0.99
GO:0002252	biological_process	immune effector process	2	2	3.0955	0.759	0.7455	0.99
GO:0006725	biological_process	obsolete cellular aromatic compound metabolic process	11	7	13.6585	0.6325	0.746	0.99
GO:0043565	molecular_function	sequence-specific DNA binding	2	2	3.3365	0.762	0.746	0.99
GO:0061024	biological_process	membrane organization	2	2	3.201	0.766	0.746	0.99
GO:0009607	biological_process	response to biotic stimulus	2	2	3.166	0.769	0.7465	0.99
GO:0008283	biological_process	cell population proliferation	2	2	3.38	0.758	0.7545	0.99
GO:0071702	biological_process	obsolete organic substance transport	6	4	7.1175	0.639	0.755	0.99
GO:0099503	cellular_component	secretory vesicle	2	2	3.4715	0.772	0.7565	0.99
GO:1902494	cellular_component	catalytic complex	3	3	6.018	0.789	0.7565	0.99
GO:0051276	biological_process	chromosome organization	2	2	4.683	0.775	0.7605	0.99
GO:0030182	biological_process	neuron differentiation	4	4	6.454	0.7775	0.762	0.99
GO:0005730	cellular_component	nucleolus	2	2	3.446	0.7705	0.763	0.99
GO:0043412	biological_process	macromolecule modification	8	6	10.775	0.7	0.7635	0.99
GO:0000981	molecular_function	DNA-binding transcription factor activity, RNA polymerase II-specific	2	2	3.348	0.783	0.764	0.99
GO:0006351	biological_process	DNA-templated transcription	2	2	3.2185	0.775	0.7645	0.99
GO:0097659	biological_process	obsolete nucleic acid-templated transcription	2	2	3.2185	0.775	0.7645	0.99
GO:0032774	biological_process	RNA biosynthetic process	2	2	3.2425	0.7755	0.765	0.99
GO:0031329	biological_process	obsolete regulation of cellular catabolic process	2	2	3.447	0.795	0.768	0.99
GO:0140096	molecular_function	catalytic activity, acting on a protein	4	4	7.0455	0.804	0.7685	0.99
GO:0033554	biological_process	cellular response to stress	5	4	7.0455	0.7135	0.7705	0.99
GO:0019899	molecular_function	enzyme binding	5	5	8.648	0.8215	0.7715	0.99
GO:0044092	biological_process	negative regulation of molecular function	2	2	3.537	0.7905	0.7775	0.99
GO:0040011	biological_process	locomotion	5	4	6.423	0.709	0.7795	0.99
GO:1901363	molecular_function	heterocyclic compound binding	6	6	12.185	0.872	0.783	0.99
GO:0044444	cellular_component	obsolete cytoplasmic part	18	11	31.1825	0.829	0.7835	0.99
GO:0044271	biological_process	obsolete cellular nitrogen compound biosynthetic process	6	4	7.7205	0.682	0.785	0.99
GO:0034641	biological_process	obsolete cellular nitrogen compound metabolic process	11	7	15.3165	0.707	0.785	0.99
GO:1901565	biological_process	obsolete organonitrogen compound catabolic process	3	2	4.0105	0.6595	0.7855	0.99
GO:0003723	molecular_function	RNA binding	2	2	3.7735	0.8015	0.7855	0.99
GO:0051649	biological_process	establishment of localization in cell	5	4	7.8925	0.7675	0.788	0.99
GO:0002376	biological_process	immune system process	4	4	7.2645	0.8265	0.789	0.99
GO:0016043	biological_process	cellular component organization	13	10	22.3315	0.8385	0.7905	0.99
GO:0048667	biological_process	cell morphogenesis involved in neuron differentiation	2	2	3.4815	0.802	0.7915	0.99
GO:0016740	molecular_function	transferase activity	5	4	7.8035	0.7735	0.7935	0.99
GO:0006357	biological_process	regulation of transcription by RNA polymerase II	4	4	7.726	0.825	0.7935	0.99
GO:0002682	biological_process	regulation of immune system process	2	2	3.8655	0.826	0.7945	0.99
GO:0097159	molecular_function	organic cyclic compound binding	6	6	12.442	0.8775	0.7955	0.99
GO:0005634	cellular_component	nucleus	14	9	22.883	0.7955	0.796	0.99
GO:0014070	biological_process	response to organic cyclic compound	2	2	3.9495	0.832	0.8005	0.99
GO:0009894	biological_process	regulation of catabolic process	2	2	3.845	0.8245	0.801	0.99
GO:0045893	biological_process	positive regulation of DNA-templated transcription	3	3	5.322	0.8255	0.801	0.99
GO:0071840	biological_process	cellular component organization or biogenesis	13	10	23.236	0.852	0.803	0.99
GO:0003677	molecular_function	DNA binding	3	3	6.14	0.8315	0.804	0.99
GO:0007420	biological_process	brain development	2	2	3.55	0.8205	0.8085	0.99
GO:1901701	biological_process	cellular response to oxygen-containing compound	2	2	3.7005	0.815	0.8105	0.99
GO:0048812	biological_process	neuron projection morphogenesis	2	2	3.647	0.824	0.811	0.99
GO:0007163	biological_process	establishment or maintenance of cell polarity	2	1	1.8865	0.527	0.8125	0.99
GO:0003824	molecular_function	catalytic activity	15	8	18.8535	0.6595	0.814	0.99
GO:0120039	biological_process	plasma membrane bounded cell projection morphogenesis	2	2	3.663	0.8275	0.8145	0.99
GO:0048858	biological_process	cell projection morphogenesis	2	2	3.6655	0.8275	0.8145	0.99
GO:1902680	biological_process	positive regulation of RNA biosynthetic process	3	3	5.6205	0.8415	0.815	0.99
GO:1903508	biological_process	obsolete positive regulation of nucleic acid-templated transcription	3	3	5.613	0.8415	0.815	0.99
GO:1901564	biological_process	obsolete organonitrogen compound metabolic process	13	8	18.876	0.728	0.8165	0.99
GO:0043170	biological_process	macromolecule metabolic process	13	9	22.1	0.82	0.8165	0.99
GO:0051050	biological_process	positive regulation of transport	2	2	4.0165	0.823	0.8175	0.99
GO:0006811	biological_process	monoatomic ion transport	2	2	4.249	0.8305	0.8185	0.99
GO:0003700	molecular_function	DNA-binding transcription factor activity	2	2	3.899	0.8365	0.8185	0.99
GO:0044237	biological_process	obsolete cellular metabolic process	19	10	27.7685	0.758	0.819	0.99
GO:0046907	biological_process	intracellular transport	4	3	6.6745	0.769	0.8205	0.99
GO:0045202	cellular_component	synapse	2	2	3.842	0.826	0.821	0.99
GO:0008104	biological_process	protein localization	4	4	8.0315	0.85	0.821	0.99
GO:0006508	biological_process	proteolysis	2	2	4.3215	0.8315	0.8235	0.99
GO:0044238	biological_process	primary metabolic process	20	10	26.751	0.6855	0.824	0.99
GO:0042803	molecular_function	protein homodimerization activity	2	2	3.747	0.831	0.8255	0.99
GO:0032990	biological_process	obsolete cell part morphogenesis	2	2	3.79	0.842	0.8265	0.99
GO:0071704	biological_process	obsolete organic substance metabolic process	20	10	28.2215	0.731	0.827	0.99
GO:0000904	biological_process	obsolete cell morphogenesis involved in differentiation	2	2	3.9875	0.835	0.827	0.99
GO:0007399	biological_process	nervous system development	7	6	12.2365	0.8165	0.833	0.99
GO:0008152	biological_process	metabolic process	20	10	29.3085	0.76	0.834	0.99
GO:0060322	biological_process	head development	2	2	3.776	0.841	0.834	0.99
GO:0010467	biological_process	gene expression	4	4	8.786	0.8755	0.8345	0.99
GO:0051254	biological_process	positive regulation of RNA metabolic process	3	3	5.9475	0.8615	0.836	0.99
GO:0022607	biological_process	cellular component assembly	6	5	11.557	0.8495	0.839	0.99
GO:0072359	biological_process	circulatory system development	2	2	3.934	0.854	0.843	0.99
GO:0009987	biological_process	cellular process	27	13	43.7775	0.8165	0.846	0.99
GO:0031175	biological_process	neuron projection development	2	2	4.4305	0.8575	0.8515	0.99
GO:0048468	biological_process	cell development	5	5	10.5705	0.8765	0.853	0.99
GO:0043167	molecular_function	ion binding	5	4	8.6985	0.8235	0.8535	0.99
GO:0048699	biological_process	generation of neurons	4	4	8.566	0.877	0.8565	0.99
GO:0043085	biological_process	positive regulation of catalytic activity	2	2	4.596	0.8655	0.8615	0.99
GO:0033036	biological_process	macromolecule localization	5	4	9.243	0.846	0.863	0.99
GO:0017111	molecular_function	ribonucleoside triphosphate phosphatase activity	2	1	2.678	0.6305	0.8635	0.99
GO:0009887	biological_process	animal organ morphogenesis	3	3	6.564	0.874	0.8645	0.99
GO:0044260	biological_process	obsolete cellular macromolecule metabolic process	11	7	18.771	0.815	0.865	0.99
GO:0006807	biological_process	obsolete nitrogen compound metabolic process	18	9	25.896	0.735	0.8655	0.99
GO:0043229	cellular_component	intracellular organelle	25	11	38.047	0.785	0.866	0.99
GO:0044085	biological_process	cellular component biogenesis	6	5	12.6675	0.871	0.8675	0.99
GO:0005576	cellular_component	extracellular region	2	2	5.356	0.873	0.8695	0.99
GO:0031328	biological_process	obsolete positive regulation of cellular biosynthetic process	3	3	7.0605	0.8955	0.87	0.99
GO:0009605	biological_process	response to external stimulus	5	4	8.631	0.829	0.8715	0.99
GO:0010557	biological_process	positive regulation of macromolecule biosynthetic process	3	3	6.6815	0.8955	0.8725	0.99
GO:0005737	cellular_component	cytoplasm	21	10	35.2715	0.8155	0.873	0.99
GO:0045935	biological_process	positive regulation of nucleobase-containing compound metabolic process	3	3	6.771	0.893	0.8735	0.99
GO:0032991	cellular_component	protein-containing complex	8	6	19.3025	0.8925	0.874	0.99
GO:0034645	biological_process	obsolete cellular macromolecule biosynthetic process	3	3	7.7285	0.8965	0.875	0.99
GO:0080134	biological_process	regulation of response to stress	2	2	4.8725	0.8825	0.876	0.99
GO:0120038	cellular_component	obsolete plasma membrane bounded cell projection part	3	3	6.248	0.901	0.876	0.99
GO:0044463	cellular_component	obsolete cell projection part	3	3	6.248	0.901	0.876	0.99
GO:0009891	biological_process	positive regulation of biosynthetic process	3	3	7.1515	0.902	0.8765	0.99
GO:0005886	cellular_component	plasma membrane	7	6	13.983	0.8815	0.877	0.99
GO:0043226	cellular_component	organelle	25	11	38.6325	0.7925	0.8775	0.99
GO:0050790	biological_process	regulation of catalytic activity	3	3	7.2215	0.8875	0.8775	0.99
GO:0022008	biological_process	neurogenesis	4	4	8.952	0.889	0.8775	0.99
GO:0048584	biological_process	positive regulation of response to stimulus	3	3	7.2165	0.894	0.878	0.99
GO:0051641	biological_process	cellular localization	6	4	10.5775	0.831	0.8805	0.99
GO:0009653	biological_process	anatomical structure morphogenesis	6	5	12.525	0.875	0.8805	0.99
GO:0006355	biological_process	regulation of DNA-templated transcription	4	4	10.1385	0.904	0.8805	0.99
GO:0044424	cellular_component	obsolete intracellular part	25	11	42.48	0.834	0.8825	0.99
GO:0019538	biological_process	protein metabolic process	7	5	14.2285	0.8575	0.8825	0.99
GO:0006810	biological_process	transport	8	5	14.5825	0.8395	0.883	0.99
GO:0016817	molecular_function	hydrolase activity, acting on acid anhydrides	2	1	2.8465	0.6495	0.8835	0.99
GO:0016818	molecular_function	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	2	1	2.8465	0.6495	0.8835	0.99
GO:0016462	molecular_function	pyrophosphatase activity	2	1	2.827	0.6495	0.8835	0.99
GO:0009059	biological_process	macromolecule biosynthetic process	3	3	7.9305	0.9045	0.8835	0.99
GO:0016070	biological_process	RNA metabolic process	3	3	7.509	0.904	0.885	0.99
GO:0005622	cellular_component	intracellular anatomical structure	25	11	42.5915	0.8365	0.8855	0.99
GO:0071944	cellular_component	cell periphery	8	6	14.6585	0.847	0.8855	0.99
GO:1903506	biological_process	obsolete regulation of nucleic acid-templated transcription	4	4	10.327	0.9105	0.887	0.99
GO:2001141	biological_process	regulation of RNA biosynthetic process	4	4	10.338	0.9105	0.887	0.99
GO:0003008	biological_process	system process	3	3	6.4455	0.902	0.8875	0.99
GO:0010628	biological_process	positive regulation of gene expression	3	3	6.9465	0.9095	0.8875	0.99
GO:0048471	cellular_component	perinuclear region of cytoplasm	2	1	2.949	0.712	0.889	0.99
GO:0051234	biological_process	establishment of localization	8	5	15.197	0.8525	0.889	0.99
GO:0000902	biological_process	cell morphogenesis	2	2	4.7035	0.8965	0.8895	0.99
GO:0031226	cellular_component	obsolete intrinsic component of plasma membrane	2	2	5.8435	0.8975	0.8895	0.99
GO:0036211	biological_process	protein modification process	6	4	9.9995	0.7975	0.892	0.99
GO:0048646	biological_process	anatomical structure formation involved in morphogenesis	2	2	5.3415	0.91	0.897	0.99
GO:0005623	cellular_component	obsolete cell	27	12	46.9335	0.851	0.899	0.99
GO:0044464	cellular_component	obsolete cell part	27	12	46.9335	0.851	0.899	0.99
GO:0035556	biological_process	intracellular signal transduction	2	2	5.0265	0.8995	0.899	0.99
