go_id	cat	term	k_raw	k_clustered	null_mean_raw	p_window_raw	p_window_clustered	fdr_clustered
GO:0051704	biological_process	obsolete multi-organism process	3	3	10.711	0.9575	0.949	0.99
GO:0031325	biological_process	obsolete positive regulation of cellular metabolic process	3	3	11.2895	0.9645	0.9495	0.99
GO:0032502	biological_process	developmental process	9	6	24.6425	0.944	0.9515	0.99
GO:0005515	molecular_function	protein binding	11	6	23.6725	0.8945	0.9525	0.99
GO:0044703	biological_process	multi-organism reproductive process	2	2	7.535	0.9575	0.953	0.99
GO:0007165	biological_process	signal transduction	4	4	12.112	0.964	0.9535	0.99
GO:0010604	biological_process	positive regulation of macromolecule metabolic process	3	3	11.3145	0.973	0.956	0.99
GO:0007049	biological_process	cell cycle	2	1	5.1435	0.8845	0.9565	0.99
GO:0009893	biological_process	positive regulation of metabolic process	3	3	11.988	0.974	0.957	0.99
GO:0019222	biological_process	regulation of metabolic process	6	5	20.8695	0.959	0.958	0.99
GO:2000026	biological_process	regulation of multicellular organismal development	2	2	8.3685	0.972	0.9585	0.99
GO:0032501	biological_process	multicellular organismal process	10	6	26.7115	0.9505	0.9595	0.99
GO:0071310	biological_process	obsolete cellular response to organic substance	2	2	7.396	0.9625	0.961	0.99
GO:0097458	cellular_component	obsolete neuron part	2	2	7.048	0.966	0.961	0.99
GO:0048609	biological_process	multicellular organismal reproductive process	2	2	7.52	0.967	0.965	0.99
GO:0032504	biological_process	obsolete multicellular organism reproduction	2	2	7.7075	0.967	0.965	0.99
GO:0051239	biological_process	regulation of multicellular organismal process	3	3	11.7675	0.974	0.967	0.99
GO:0048583	biological_process	regulation of response to stimulus	4	3	13.041	0.9515	0.968	0.99
GO:0051171	biological_process	obsolete regulation of nitrogen compound metabolic process	5	4	17.72	0.9715	0.969	0.99
GO:0060255	biological_process	regulation of macromolecule metabolic process	5	4	19.145	0.9755	0.97	0.99
GO:0070887	biological_process	cellular response to chemical stimulus	4	2	8.964	0.887	0.9705	0.99
GO:0032879	biological_process	regulation of localization	2	2	9.727	0.973	0.973	0.99
GO:0051172	biological_process	obsolete negative regulation of nitrogen compound metabolic process	2	2	7.9565	0.979	0.9735	0.99
GO:0051128	biological_process	regulation of cellular component organization	2	2	10.745	0.9765	0.975	0.99
GO:0009966	biological_process	regulation of signal transduction	2	2	10.4415	0.9765	0.9765	0.99
GO:0022414	biological_process	reproductive process	3	2	10.0215	0.9595	0.9795	0.99
