t_inv,p_hist,t_decline,t_fall,pi_i_over_pi_s,dxy_over_pi_i,f1_ratio,score,n
800000.0,0.66,100000.0,25000.0,1.2448605662687715,1.3516046460078688,0.9356790069162517,0.02502538941275121,48
800000.0,0.66,100000.0,50000.0,1.2380427620640542,1.3543093935193375,0.914959347420419,0.019720057415097053,48
800000.0,0.66,100000.0,100000.0,1.2242290734975156,1.3619512895027548,0.8862175826893615,0.015054605484684645,48
800000.0,0.66,100000.0,200000.0,1.1925281975628728,1.3803183356443742,0.849117847523153,0.015292781964658077,48
800000.0,0.66,100000.0,400000.0,1.099552142048171,1.4317021911438819,0.8350995584875328,0.03695577041959667,48
800000.0,0.66,175000.0,25000.0,1.222627590491995,1.3606738779374492,0.8818680195807461,0.014570390423972509,48
800000.0,0.66,175000.0,50000.0,1.2096062565762817,1.368791262136364,0.8716777573885702,0.014847129890784905,48
800000.0,0.66,175000.0,100000.0,1.1946147746873674,1.3777166708399964,0.8532806047390666,0.01525319747820313,48
800000.0,0.66,175000.0,200000.0,1.1552614281225937,1.3997753159587365,0.8348812958957178,0.02208399735344326,48
800000.0,0.66,175000.0,400000.0,1.050797971686382,1.4607963841034575,0.8443607197961595,0.05408405465563389,48
800000.0,0.7,100000.0,25000.0,1.3394051657513923,1.3317549081747446,0.933576073331288,0.018714721866067898,48
800000.0,0.7,100000.0,50000.0,1.333528428954909,1.3344515879281824,0.9101892747852234,0.01208462195211754,48
800000.0,0.7,100000.0,100000.0,1.30754260828797,1.3440744120165788,0.8762215781629407,0.005881180203134105,48
800000.0,0.7,100000.0,200000.0,1.2735504637891053,1.3585274200312305,0.8308608328876125,0.004063985577500134,48
800000.0,0.7,100000.0,400000.0,1.1604889320328355,1.411142691841036,0.8152801790923968,0.021233860714637186,48
800000.0,0.7,175000.0,25000.0,1.3112994416246815,1.3453997466199148,0.8706403233818593,0.004853684303957774,48
800000.0,0.7,175000.0,50000.0,1.2901753389408739,1.3520457957509044,0.8625812681448121,0.004895149405732237,48
800000.0,0.7,175000.0,100000.0,1.2766279857114016,1.3605465548710425,0.8400303873585625,0.004006022522411607,48
800000.0,0.7,175000.0,200000.0,1.222894005273508,1.3828550506005346,0.8208490944418115,0.009618450288195532,48
800000.0,0.7,175000.0,400000.0,1.09506019971178,1.4506155319251988,0.8305839455134867,0.039234259182334856,48
800000.0,0.74,100000.0,25000.0,1.4611166434112886,1.3128935288414294,0.923305967433824,0.022760586799878257,48
800000.0,0.74,100000.0,50000.0,1.445189236257458,1.3194893961599452,0.9006894561278822,0.014864109675640188,48
800000.0,0.74,100000.0,100000.0,1.4234581725998678,1.3261216919917211,0.8618017227791673,0.006223985532240907,48
800000.0,0.74,100000.0,200000.0,1.3676083344942764,1.3472820892945512,0.8164257654106091,0.000935962865208959,48
800000.0,0.74,100000.0,400000.0,1.2245318026487615,1.4042171785667135,0.7999210662369257,0.010512301742347668,48
800000.0,0.74,175000.0,25000.0,1.4181542830271783,1.3328521707351444,0.8552213632512943,0.004823858217125044,48
800000.0,0.74,175000.0,50000.0,1.4074454378840933,1.337128014257803,0.8417454225486761,0.0030302385893951444,48
800000.0,0.74,175000.0,100000.0,1.3766936712861824,1.3456080127313663,0.8210058183393142,0.0010740690736633985,48
800000.0,0.74,175000.0,200000.0,1.314909733787476,1.368586512084973,0.8015473724699994,0.001886828797369696,48
800000.0,0.74,175000.0,400000.0,1.1476019526265033,1.4355615086514255,0.8170341696682072,0.024993976243277916,48
850000.0,0.66,100000.0,25000.0,1.2704961236221393,1.4075352377932762,0.927217514735285,0.01936028689665719,48
850000.0,0.66,100000.0,50000.0,1.267818128305211,1.400239320366908,0.9049767376616564,0.013561239861873062,48
850000.0,0.66,100000.0,100000.0,1.255512379234668,1.4148544113494654,0.8750966224349984,0.009516571006186164,48
850000.0,0.66,100000.0,200000.0,1.2117274127461206,1.4376729690112533,0.8429858364631485,0.013165250613070712,48
850000.0,0.66,100000.0,400000.0,1.1235728167996288,1.4860484546509654,0.8277519587731982,0.03464889502004558,48
850000.0,0.66,175000.0,25000.0,1.2491384142312834,1.416474552300877,0.8729501686097024,0.009980169312329049,48
850000.0,0.66,175000.0,50000.0,1.2452928960568583,1.4162739528848511,0.8596818585601927,0.008842025445663551,48
850000.0,0.66,175000.0,100000.0,1.22665953366538,1.4295139928105804,0.8428698067320931,0.010527370335707154,48
850000.0,0.66,175000.0,200000.0,1.1771188762048137,1.4592503076855634,0.8290999356879153,0.020243282471428526,48
850000.0,0.66,175000.0,400000.0,1.0760116377874942,1.513667949051568,0.8361375624561551,0.051360667625094565,48
850000.0,0.7,100000.0,25000.0,1.3826757379099963,1.3810422087818175,0.91932443565376,0.013293723751335536,48
850000.0,0.7,100000.0,50000.0,1.3736680935790948,1.382279872780367,0.8978374647344243,0.007836672966777257,48
850000.0,0.7,100000.0,100000.0,1.3446455002624431,1.4001641793756539,0.8647432960153558,0.0024362893827183196,48
850000.0,0.7,100000.0,200000.0,1.3088614553350542,1.4166921871178741,0.8204853474572278,0.001757508942878306,48
850000.0,0.7,100000.0,400000.0,1.1898586512019158,1.471885878677898,0.8065558713411258,0.019435392946405367,48
850000.0,0.7,175000.0,25000.0,1.3478132365385393,1.3937864668753683,0.8598788826162862,0.0017990144545231778,48
850000.0,0.7,175000.0,50000.0,1.3396437546011974,1.3991534119632096,0.8464911790857383,0.0008862844706026948,48
850000.0,0.7,175000.0,100000.0,1.3200759042354393,1.4095346186122042,0.8263314485264421,0.0010065435891298432,48
850000.0,0.7,175000.0,200000.0,1.2671401241833957,1.429774051417641,0.8069702208948858,0.005822170510564517,48
850000.0,0.7,175000.0,400000.0,1.1338886963769401,1.500472020435329,0.817376445005507,0.03382574539751225,48
850000.0,0.74,100000.0,25000.0,1.5194524469930386,1.3582293698399885,0.9063417414749243,0.02454228339786639,48
850000.0,0.74,100000.0,50000.0,1.5080126567088585,1.3634521960662056,0.8826215766506139,0.017648801958970027,48
850000.0,0.74,100000.0,100000.0,1.483241988970403,1.3707164198099926,0.8454174697424298,0.009545533827197514,48
850000.0,0.74,100000.0,200000.0,1.4196111628742134,1.39234481804972,0.8028515163046962,0.0030186100475058054,48
850000.0,0.74,100000.0,400000.0,1.282737954320168,1.4473597501967592,0.7830772080567194,0.0075826177628693075,48
850000.0,0.74,175000.0,25000.0,1.4745227492667965,1.376695444853877,0.8403124624323607,0.008047846103321274,48
850000.0,0.74,175000.0,50000.0,1.4609311774879519,1.380765639391966,0.8269200161223873,0.006048454981913653,48
850000.0,0.74,175000.0,100000.0,1.4243458924201626,1.3954741948996228,0.8081232979602582,0.003079279513456327,48
850000.0,0.74,175000.0,200000.0,1.3714834974804357,1.4080713032842287,0.7859777320860789,0.0027229291333463936,48
850000.0,0.74,175000.0,400000.0,1.196434667800916,1.4910543555519808,0.8023769655919908,0.02046442508511948,48
900000.0,0.66,100000.0,25000.0,1.3072052071667188,1.455697665787703,0.9174199397938175,0.016264621963853258,48
900000.0,0.66,100000.0,50000.0,1.2941611506700639,1.4593446366346834,0.9028492402966541,0.013706699193123867,48
900000.0,0.66,100000.0,100000.0,1.2798938126965453,1.4678310935745562,0.8718470948787865,0.009851788346921339,48
900000.0,0.66,100000.0,200000.0,1.2400751126926723,1.48714952258317,0.8374373583361232,0.012930682263082326,48
900000.0,0.66,100000.0,400000.0,1.1557326073469563,1.5386318930973786,0.8196731657559483,0.03412969443101393,48
900000.0,0.66,175000.0,25000.0,1.274943395361425,1.4696426497381092,0.866022207673456,0.009690945053125764,48
900000.0,0.66,175000.0,50000.0,1.2712135703937293,1.4776165191713615,0.8531163630458638,0.009478289805459741,48
900000.0,0.66,175000.0,100000.0,1.2567423041140973,1.4792909498940592,0.8344260899206797,0.01008833232865292,48
900000.0,0.66,175000.0,200000.0,1.206803390125488,1.511838720657644,0.8198714832469054,0.02051221854195749,48
900000.0,0.66,175000.0,400000.0,1.1071728340443883,1.5678989549487377,0.8258931201918878,0.051066591177757116,48
900000.0,0.7,100000.0,25000.0,1.427324207966957,1.4281743042001878,0.9022162652252647,0.012392443286309524,48
900000.0,0.7,100000.0,50000.0,1.4163493088730625,1.4320054153352668,0.8808605647004228,0.0076504041142095,48
900000.0,0.7,100000.0,100000.0,1.3928552448182616,1.4427029465479393,0.848124485015556,0.0032479701475996163,48
900000.0,0.7,100000.0,200000.0,1.348325772859549,1.4625965556767895,0.8081253129036077,0.0036328660672266117,48
900000.0,0.7,100000.0,400000.0,1.23151088655469,1.5173794541275685,0.7977368484236216,0.01868419381711134,48
900000.0,0.7,175000.0,25000.0,1.3863650227650535,1.445024501585176,0.8460376105629424,0.003019207127821142,48
900000.0,0.7,175000.0,50000.0,1.373705889636201,1.449058710528868,0.8347140050486972,0.0024534849844653948,48
900000.0,0.7,175000.0,100000.0,1.355464981664852,1.4544661589284846,0.8138015198104065,0.0027351054821474316,48
900000.0,0.7,175000.0,200000.0,1.2975741239807554,1.4795155827767272,0.7952078028146476,0.007865465377675504,48
900000.0,0.7,175000.0,400000.0,1.169712318739114,1.554201132115594,0.8037772208063917,0.03446653056792709,48
900000.0,0.74,100000.0,25000.0,1.5672214933287174,1.4051313071640372,0.8933093900064414,0.03131162902889679,48
900000.0,0.74,100000.0,50000.0,1.5538049852066045,1.4095387023831811,0.8696699580837092,0.02454643810145575,48
900000.0,0.74,100000.0,100000.0,1.5330786259611056,1.4167657494918087,0.8306822945542452,0.017711450870067483,48
900000.0,0.74,100000.0,200000.0,1.4641955142693266,1.438402465608851,0.788629278903263,0.009920997918084574,48
900000.0,0.74,100000.0,400000.0,1.3200821981883835,1.5068550894697565,0.7744173593631176,0.012298306128857638,48
900000.0,0.74,175000.0,25000.0,1.5220017500696645,1.4234683769323127,0.8284328243446714,0.0158593892863919,48
900000.0,0.74,175000.0,50000.0,1.5171503475309678,1.4251383968842095,0.8127340820158708,0.015293477871449492,48
900000.0,0.74,175000.0,100000.0,1.4829392624298225,1.4398430243714246,0.7922162257472973,0.01203887444934228,48
900000.0,0.74,175000.0,200000.0,1.4083665351571568,1.4661081893115224,0.7732379973716923,0.008985039508791197,48
900000.0,0.74,175000.0,400000.0,1.241788679500399,1.5364616073435495,0.7861763613763114,0.021323249232728332,48
