t_inv,p_hist,t_decline,t_fall,pi_i_over_pi_s,dxy_over_pi_i,f1_ratio,score,n
800000.0,0.7,0.0,50000.0,1.3724233267860786,1.3189669741011147,1.024977170558752,0.07080171097646727,48
800000.0,0.7,0.0,100000.0,1.3464760984637032,1.3296140857951746,0.9650552984587654,0.03688737208195485,48
800000.0,0.7,0.0,200000.0,1.3152284300762636,1.3452362259541892,0.8794008469535156,0.008482967950966555,48
800000.0,0.7,25000.0,50000.0,1.3588900163630573,1.3262487943016765,0.9925706448023135,0.05091142423156187,48
800000.0,0.7,25000.0,100000.0,1.3398979307263026,1.3316913485962936,0.9390162539134786,0.025851302332417867,48
800000.0,0.7,25000.0,200000.0,1.3056918407206652,1.3454940969882918,0.8702527218243291,0.007213485024052056,48
800000.0,0.7,50000.0,50000.0,1.3551964215307395,1.3259973002033447,0.9618051188644907,0.03557098252845176,48
800000.0,0.7,50000.0,100000.0,1.3341373430851553,1.332811371105648,0.9142963769263865,0.017357142946139267,48
800000.0,0.7,50000.0,200000.0,1.2898977497805,1.3508588772484742,0.8554473291028913,0.00574380092742613,48
800000.0,0.7,100000.0,50000.0,1.333528428954909,1.3344515879281824,0.9101892747852234,0.016042955728913927,48
800000.0,0.7,100000.0,100000.0,1.30754260828797,1.3440744120165788,0.8762215781629407,0.008272388686668648,48
800000.0,0.7,100000.0,200000.0,1.2735504637891053,1.3585274200312305,0.8308608328876125,0.0045340487618048915,48
800000.0,0.7,175000.0,50000.0,1.2901753389408739,1.3520457957509044,0.8625812681448121,0.0066880210919349715,48
800000.0,0.7,175000.0,100000.0,1.2766279857114016,1.3605465548710425,0.8400303873585625,0.00484861393670187,48
800000.0,0.7,175000.0,200000.0,1.222894005273508,1.3828550506005346,0.8208490944418115,0.009690928393582014,48
800000.0,0.7,250000.0,50000.0,1.2613493909394387,1.3651697802348453,0.8284608617345617,0.005420820700305646,48
800000.0,0.7,250000.0,100000.0,1.228433240201501,1.3819781614755857,0.8231834860282664,0.008977074788510342,48
800000.0,0.7,250000.0,200000.0,1.1762212806988346,1.407325300084194,0.8176182153408725,0.017813968331778843,48
800000.0,0.74,0.0,50000.0,1.5020658837521952,1.3035836603912045,1.0345512460262531,0.08980289654070713,48
800000.0,0.74,0.0,100000.0,1.475025509927842,1.3064560346648326,0.9653899420134574,0.04637067125932821,48
800000.0,0.74,0.0,200000.0,1.4320103156638793,1.3188758801695883,0.8703776738385138,0.010517749590970217,48
800000.0,0.74,25000.0,50000.0,1.489213256244005,1.305364161551207,0.9943673577358781,0.06310821397741374,48
800000.0,0.74,25000.0,100000.0,1.4606220105008543,1.3126605075633304,0.9331947429603593,0.030782108110980345,48
800000.0,0.74,25000.0,200000.0,1.4170178464741376,1.327342143371235,0.8546700431805385,0.006468048073686932,48
800000.0,0.74,50000.0,50000.0,1.4684790907521261,1.3117231383792571,0.9617086572285709,0.043442600646123,48
800000.0,0.74,50000.0,100000.0,1.4438366739141557,1.31931605670819,0.9096796756865346,0.02077843121123961,48
800000.0,0.74,50000.0,200000.0,1.400488342637825,1.3372560968494722,0.8353088644598964,0.003063284023987918,48
800000.0,0.74,100000.0,50000.0,1.445189236257458,1.3194893961599452,0.9006894561278822,0.018373077117555002,48
800000.0,0.74,100000.0,100000.0,1.4234581725998678,1.3261216919917211,0.8618017227791673,0.007983198276073095,48
800000.0,0.74,100000.0,200000.0,1.3676083344942764,1.3472820892945512,0.8164257654106091,0.0008358272491200707,48
800000.0,0.74,175000.0,50000.0,1.4074454378840933,1.337128014257803,0.8417454225486761,0.0039433963760706495,48
800000.0,0.74,175000.0,100000.0,1.3766936712861824,1.3456080127313663,0.8210058183393142,0.0011526973238992827,48
800000.0,0.74,175000.0,200000.0,1.314909733787476,1.368586512084973,0.8015473724699994,0.0012197819059726479,48
800000.0,0.74,250000.0,50000.0,1.361845719372151,1.3514077129583184,0.8048175630522647,0.0006920883015639588,48
800000.0,0.74,250000.0,100000.0,1.3261859951708013,1.3609993738523964,0.7995646388042552,0.0010196647045255373,48
800000.0,0.74,250000.0,200000.0,1.2500937220611246,1.3927794509249605,0.7988105448579655,0.006374577420738567,48
850000.0,0.7,0.0,50000.0,1.4160504677460668,1.3675528801119992,1.0089468026699115,0.06060156280647551,48
850000.0,0.7,0.0,100000.0,1.3862404050362827,1.3817800606599233,0.9515814393686447,0.02981726278625846,48
850000.0,0.7,0.0,200000.0,1.3597511062389531,1.3873590739152666,0.8663379899878773,0.004403463420169269,48
850000.0,0.7,25000.0,50000.0,1.4025323003497328,1.3776133019580232,0.9769962265944244,0.042214344391625684,48
850000.0,0.7,25000.0,100000.0,1.3797629923455277,1.381813913959439,0.9258425176833684,0.019782192037436246,48
850000.0,0.7,25000.0,200000.0,1.3485370918462616,1.3970309452385443,0.8561473041214935,0.0029909676024771573,48
850000.0,0.7,50000.0,50000.0,1.4080137271217066,1.3705436076855353,0.9432196315875995,0.027485144812740836,48
850000.0,0.7,50000.0,100000.0,1.3712367535837326,1.3849057667972604,0.9029034703607584,0.012513140888259805,48
