t_arrive,p_start,t_inv,t_rise,s_dorm,s_het,pi_i_over_pi_s,dxy_over_pi_i,f1_I,f1_S,ratio,l1_contrast,n
200000.0,0.28,800000.0,50000.0,0.0,0.00045499330159881103,0.7162771748795264,2.075311211873102,0.5443293932859895,0.4394432880436969,1.238679502215683,0.00880186526227781,48
200000.0,0.28,800000.0,50000.0,1e-06,0.00045499330159881103,0.7061380813208267,2.069205860331099,0.5450659497918648,0.43810869855340373,1.2441340507313015,0.008711714238264272,48
200000.0,0.28,800000.0,50000.0,3e-06,0.00045499330159881103,0.697762120153438,2.0542087442481534,0.5441908330898078,0.43670099542255386,1.2461405831311336,0.006224732012561846,48
200000.0,0.28,800000.0,50000.0,1e-05,0.00045499330159881103,0.6987376719125585,2.000212170316777,0.5414864434448894,0.4363661730783261,1.2408992191695267,0.01017882642783284,48
200000.0,0.28,800000.0,50000.0,3e-05,0.00045499330159881103,0.7289413402744785,1.8602635076853418,0.5303338229078911,0.43736776821146517,1.2125580837302974,0.03413267441145989,48
200000.0,0.28,800000.0,50000.0,0.0001,0.00045499330159881103,0.7439265615892737,1.8098183189447121,0.5240960986063287,0.4371150944694303,1.1989887909098078,0.043587418622206546,48
200000.0,0.32,800000.0,50000.0,0.0,0.00044766638995567793,0.8103905195877387,1.812185922288301,0.5204327939745557,0.4405003381237757,1.1814583302960366,0.05026723563391275,48
200000.0,0.32,800000.0,50000.0,1e-06,0.00044766638995567793,0.8084099821736611,1.794366311132918,0.5204315870119367,0.4409159488529332,1.1803419412835205,0.05124668367786042,48
200000.0,0.32,800000.0,50000.0,3e-06,0.00044766638995567793,0.8030116071095786,1.7774385391190837,0.5190462765907062,0.4396178306650613,1.1806761245454584,0.051301931683803585,48
200000.0,0.32,800000.0,50000.0,1e-05,0.00044766638995567793,0.8012050803621547,1.7406396042728964,0.5171646683869462,0.439621331303317,1.1763866572482766,0.05609823292938726,48
200000.0,0.32,800000.0,50000.0,3e-05,0.00044766638995567793,0.8011940814771243,1.7064319088900393,0.5132423674925657,0.43611789906430204,1.176843162350675,0.056683713472826684,48
200000.0,0.32,800000.0,50000.0,0.0001,0.00044766638995567793,0.8060573503866784,1.6961306673810672,0.5114745151737087,0.4364063168356682,1.1720144632239773,0.06118579980212785,48
200000.0,0.28,900000.0,50000.0,0.0,0.00045499330159881103,0.6671995472877189,2.4311129377812937,0.5693025687124533,0.44288515485513996,1.28544062150528,0.04270268037915405,48
200000.0,0.28,900000.0,50000.0,1e-06,0.00045499330159881103,0.6596579567674055,2.413888691993174,0.5699289848501797,0.4427665545406614,1.2871997195936362,0.04419271328356407,48
200000.0,0.28,900000.0,50000.0,3e-06,0.00045499330159881103,0.6450122710268053,2.3745054343611205,0.5687449482811422,0.43921420219414825,1.2949147487488046,0.048929344838514896,48
200000.0,0.28,900000.0,50000.0,1e-05,0.00045499330159881103,0.656378825884357,2.237417273417361,0.5600462212370452,0.438945110474216,1.2758912398682312,0.03207007419018562,48
200000.0,0.28,900000.0,50000.0,3e-05,0.00045499330159881103,0.68087943865781,2.116300323911546,0.5500487582777485,0.43942179013829796,1.2517557631919738,0.013367007138276125,48
200000.0,0.28,900000.0,50000.0,0.0001,0.00045499330159881103,0.6943367578728322,2.077486090545397,0.543745281166596,0.4378597246917342,1.2418252935901066,0.00888855994769324,48
200000.0,0.32,900000.0,50000.0,0.0,0.00044766638995567793,0.6846725909534594,2.3403857466695346,0.5659689681542129,0.4438543860910936,1.2751230716419175,0.03728115500257677,48
200000.0,0.32,900000.0,50000.0,1e-06,0.00044766638995567793,0.6836130502052619,2.3015973565588883,0.5628917766852751,0.44182458361785254,1.2740164254240258,0.035919413773080604,48
200000.0,0.32,900000.0,50000.0,3e-06,0.00044766638995567793,0.6871407935226653,2.241383157407738,0.5588045726326514,0.44113603761379144,1.2667397922313415,0.028796640768266046,48
200000.0,0.32,900000.0,50000.0,1e-05,0.00044766638995567793,0.7155192795675771,2.0854948816587218,0.5460481542170899,0.44190628830447465,1.2356650463431766,0.004501287061570561,48
200000.0,0.32,900000.0,50000.0,3e-05,0.00044766638995567793,0.7431579806906571,1.9784471843004952,0.5367573655874671,0.441732557029303,1.2151184173455898,0.020305804695945423,48
200000.0,0.32,900000.0,50000.0,0.0001,0.00044766638995567793,0.7576564548219874,1.9344456981655582,0.5313528389989404,0.44144397118367035,1.2036699415651593,0.03031441170493259,48
