t_arrive,p_start,t_inv,t_rise,s_het,pi_i_over_pi_s,dxy_over_pi_i,f1_I,f1_S,ratio,l1_contrast,n
250000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.6753582650872797,2.0816809493532276,0.5560855442481557,0.4320434262781304,1.287105671387238,0.03854016494546322,48
250000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.7410030985130339,1.8855530762364363,0.5389752210215595,0.4329717449989014,1.2448276989135332,0.00991664336138788,48
250000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.8099489610388084,1.7634547835878918,0.5260048522431908,0.4359602196473192,1.2065432315561164,0.030042882143729143,48
350000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.71582074246461,2.0065244759246834,0.5614227850537247,0.42826223709011385,1.3109322663337966,0.07063986921337079,48
350000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.790639498939564,1.7985220547285372,0.538389201189979,0.428351938859938,1.2568851739597726,0.025978180643375804,48
350000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.8140567400978131,1.7537063714449286,0.5345659047830276,0.42888146966115065,1.2464187487637919,0.01974139776454046,48
450000.0,0.24,800000.0,50000.0,0.00046211655661800954,0.8086785472974213,1.773708686939521,0.5435820428336161,0.4277150830393289,1.270897530596631,0.052842398248315214,48
450000.0,0.28,800000.0,50000.0,0.00045499330159881103,0.8714383425027233,1.6666554182525337,0.5297053548489031,0.43137691157573776,1.2279409041944092,0.03391150211114201,48
450000.0,0.32,800000.0,50000.0,0.00044766638995567793,0.8936445002141316,1.6293605271516558,0.5246917859313781,0.43197828947449546,1.2146253613107947,0.036774368844227356,48
250000.0,0.24,850000.0,50000.0,0.00046211655661800954,0.6255103083513682,2.3744054923142106,0.5785333372625483,0.43344675862730075,1.3347275662984026,0.0812363591216502,48
250000.0,0.28,850000.0,50000.0,0.00045499330159881103,0.6806928064800566,2.1743812696060156,0.5625511993922655,0.4340159824962591,1.2961531880847597,0.050622028269840684,48
250000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.7618795231838117,1.94640891508168,0.5420957038059251,0.4356771256127962,1.2442601916349112,0.00845248488025494,48
350000.0,0.24,850000.0,50000.0,0.00046211655661800954,0.7009240687642354,2.122581068237898,0.5703208040392164,0.42927961651411695,1.328553190273504,0.0907531881513135,48
350000.0,0.28,850000.0,50000.0,0.00045499330159881103,0.7435038005758066,2.0084376662805985,0.5580305414096637,0.42842259353878887,1.302523605957164,0.06735840292750572,48
350000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.8501908126142981,1.769043610573723,0.5325561954823832,0.43414756652175623,1.2266709214773301,0.02159186630254669,48
450000.0,0.24,850000.0,50000.0,0.00046211655661800954,0.7387281331681761,2.0183048491948146,0.5659473173691102,0.42935240094609245,1.3181417318781175,0.09567588699508799,48
450000.0,0.28,850000.0,50000.0,0.00045499330159881103,0.7798888314581678,1.9201092033581268,0.5546575547922518,0.42954668569780974,1.2912625641406037,0.07520413392837504,48
450000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.8621969399369412,1.7716353138573673,0.5370703661319526,0.43443748468724247,1.2362431536463685,0.03923594873405584,48
250000.0,0.24,900000.0,50000.0,0.00046211655661800954,0.5807708265875938,2.607511082768809,0.5958014474736425,0.4327374338244856,1.3768197546674323,0.12073480093360463,48
250000.0,0.28,900000.0,50000.0,0.00045499330159881103,0.6577090710403845,2.3584022853839657,0.5745063418610113,0.43788661001509815,1.3119979664169283,0.0680553785652105,48
250000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.740703068298887,2.0955259922794567,0.5510509498877617,0.43749449801360835,1.259560868513188,0.02602601220751835,48
350000.0,0.24,900000.0,50000.0,0.00046211655661800954,0.6373367110884115,2.373865309539662,0.5907328188839472,0.4299627541625561,1.3739162594083878,0.13330316735215317,48
350000.0,0.28,900000.0,50000.0,0.00045499330159881103,0.7081512767101588,2.190255134654997,0.5733123410735175,0.4322068183558239,1.326476854887387,0.09469316066772279,48
350000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.7936731227243703,1.9894992224099581,0.5512001085088911,0.43618323984767154,1.2636893354760421,0.03991847513024863,48
450000.0,0.24,900000.0,50000.0,0.00046211655661800954,0.6926575229794527,2.2586361336351177,0.5852654142757844,0.4317040805050168,1.3557097111315886,0.13466032708010633,48
450000.0,0.28,900000.0,50000.0,0.00045499330159881103,0.7691665347022453,2.05218142877085,0.5629447404095889,0.4335330857457277,1.2985046791555896,0.08478355551695187,48
450000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.838484801866105,1.8799281178205731,0.5446765429552535,0.43769058562036073,1.2444328501680157,0.0458005205748454,48
