t_inv,p_start,plateau,rep,s_het,s_hom,seed,seq_length,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
650000.0,0.022,0.0,0,4.041609956736588e-05,2.4146359805423068e-05,900000,37148,3001,13.2,0.7096605435910821,1.7893059208447581,0.00610904263186463,0.00860840113915754,0.010930946151888428,0.3267991824989648
650000.0,0.022,0.0,1,4.041609956736588e-05,2.4146359805423068e-05,900001,37148,3051,10.67,0.7728919984817018,1.6617460077337343,0.006114645791546807,0.007911384518870229,0.010160988232808787,0.30980973557628844
650000.0,0.022,0.0,2,4.041609956736588e-05,2.4146359805423068e-05,900002,37148,3052,12.45,0.7711919439741749,1.6755581196347857,0.006171785395153214,0.008002917358483052,0.010341185131492353,0.3146480517755371
650000.0,0.022,0.0,3,4.041609956736588e-05,2.4146359805423068e-05,900003,37148,3121,18.05,0.7390739701286193,1.746463029527975,0.006042624413966939,0.008175939971090248,0.010553220140316405,0.32634000826259235
650000.0,0.022,0.0,4,4.041609956736588e-05,2.4146359805423068e-05,900004,37148,3202,12.59,0.7125664102163538,1.75046542832759,0.006197004284464923,0.008696739273162413,0.010847641759153802,0.3135031609492809
650000.0,0.022,0.0,5,4.041609956736588e-05,2.4146359805423068e-05,900005,37148,3044,10.04,0.7472649101733282,1.7113223080398305,0.006362905593807859,0.008514926242598468,0.010888982286634813,0.31684011210728824
650000.0,0.022,0.0,6,4.041609956736588e-05,2.4146359805423068e-05,900006,37148,3197,18.16,0.7148265315785363,1.7748409523904887,0.0059168349524967275,0.008277301822346613,0.010501440982226624,0.32418147191102176
650000.0,0.022,0.0,7,4.041609956736588e-05,2.4146359805423068e-05,900007,37148,3160,12.1,0.7139471005174515,1.7740299954487793,0.006024539736425817,0.008438355911886717,0.010687714201192482,0.3233868638301146
650000.0,0.022,0.0,8,4.041609956736588e-05,2.4146359805423068e-05,900008,37148,3122,14.86,0.7436791645125258,1.776995139680205,0.006380076149814362,0.00857907072601185,0.011337364309009716,0.34027228604013837
650000.0,0.022,0.0,9,4.041609956736588e-05,2.4146359805423068e-05,900009,37148,3088,6.56,0.7605762166211817,1.6824494139197106,0.006075045111690697,0.00798742450648635,0.010220956087699816,0.3120766052844991
650000.0,0.022,0.0,10,4.041609956736588e-05,2.4146359805423068e-05,900010,37148,3075,17.03,0.7583979850458746,1.7113449067537627,0.006129875368925168,0.008082663047363423,0.010490330991645428,0.3225886567541313
650000.0,0.022,0.0,11,4.041609956736588e-05,2.4146359805423068e-05,900011,37148,3212,12.75,0.7399310391650937,1.7241503494251564,0.006008744908748264,0.00812068232132588,0.010359979634024949,0.31807649584226405
650000.0,0.022,0.0,12,4.041609956736588e-05,2.4146359805423068e-05,900012,37148,3155,9.67,0.7402813267818119,1.7178757604804165,0.006007645477786083,0.00811535460971685,0.010320388543848502,0.31577188070496687
650000.0,0.022,0.0,13,4.041609956736588e-05,2.4146359805423068e-05,900013,37148,3060,14.66,0.7565856315782751,1.747957825237909,0.00625165679806991,0.008262986418376257,0.01092763242088807,0.3358742929208729
650000.0,0.022,0.0,14,4.041609956736588e-05,2.4146359805423068e-05,900014,37148,3056,11.13,0.718224580439341,1.7855966528272516,0.0060924767746565935,0.008482690429405521,0.010878706136254582,0.3301056659905246
650000.0,0.022,0.0,15,4.041609956736588e-05,2.4146359805423068e-05,900015,37148,3063,8.81,0.7512429945934723,1.7091355936708656,0.006058061903155841,0.008064051108302316,0.010354049227345112,0.3180391216336135
650000.0,0.022,0.0,16,4.041609956736588e-05,2.4146359805423068e-05,900016,37148,3194,19.1,0.7557790089456463,1.6993292986358075,0.006056047259305421,0.008012986848832893,0.010291218541660785,0.31645440959278914
650000.0,0.022,0.0,17,4.041609956736588e-05,2.4146359805423068e-05,900017,37148,3127,18.2,0.7647969867168689,1.6704871030223518,0.00635550930906754,0.008310060603599602,0.010616796333935825,0.30932225450206174
650000.0,0.022,0.0,18,4.041609956736588e-05,2.4146359805423068e-05,900018,37148,3124,16.84,0.7585477356466648,1.71998470916359,0.006058711901386524,0.007987251977255524,0.010420891827612282,0.3260670914256879
650000.0,0.022,0.0,19,4.041609956736588e-05,2.4146359805423068e-05,900019,37148,3092,14.62,0.7180380106807983,1.7370591023120485,0.006063305554242971,0.008444268219859457,0.010532320103096952,0.31128309659727393
650000.0,0.022,0.0,20,4.041609956736588e-05,2.4146359805423068e-05,900020,37148,3092,7.85,0.7613388376330549,1.6784502958103904,0.006235470015549543,0.00819013783000372,0.01046592649211595,0.31082986984381333
650000.0,0.022,0.0,21,4.041609956736588e-05,2.4146359805423068e-05,900021,37148,3067,17.09,0.7442396089802388,1.692181560813145,0.006187301162620959,0.00831358757040469,0.010470036938584922,0.3075053689836591
650000.0,0.022,0.0,22,4.041609956736588e-05,2.4146359805423068e-05,900022,37148,3093,17.7,0.7384967573097397,1.7659010318260038,0.006370961744389409,0.008626932591550033,0.011250487918141254,0.3334558267577201
650000.0,0.022,0.0,23,4.041609956736588e-05,2.4146359805423068e-05,900023,37148,3122,13.12,0.7276713031548141,1.7387600962453058,0.006253526971641483,0.008593889774860378,0.010873383159083962,0.31725864299659723
650000.0,0.022,0.0,24,4.041609956736588e-05,2.4146359805423068e-05,900024,37148,3252,16.31,0.7670601494545896,1.6784846479599282,0.006404310050283815,0.00834916278056882,0.01074953610017686,0.3137623478184376
650000.0,0.022,0.0,25,4.041609956736588e-05,2.4146359805423068e-05,900025,37148,3143,16.66,0.7345559014092575,1.7150195505669297,0.005981740482559183,0.008143342761365222,0.010258801874006658,0.31156272353236614
650000.0,0.022,0.0,26,4.041609956736588e-05,2.4146359805423068e-05,900026,37148,3021,8.09,0.7586935590026627,1.6960345156173902,0.005954472509679311,0.007848323528021955,0.010098990898711016,0.31662498876679923
650000.0,0.022,0.0,27,4.041609956736588e-05,2.4146359805423068e-05,900027,37148,3004,6.68,0.736632468703899,1.7583352620255321,0.006309161658903577,0.008564870443471647,0.011093621418669663,0.32961331827389395
650000.0,0.022,0.0,28,4.041609956736588e-05,2.4146359805423068e-05,900028,37148,3108,9.4,0.7313436974285222,1.7330000054039545,0.006015358253771763,0.00822507703959488,0.010424615886293188,0.31698033535745496
650000.0,0.022,0.0,29,4.041609956736588e-05,2.4146359805423068e-05,900029,37148,3121,9.88,0.7520930389899803,1.713435278852787,0.006119034659825154,0.008136007571673157,0.010484569858667381,0.32018945823924483
650000.0,0.022,0.0,30,4.041609956736588e-05,2.4146359805423068e-05,900030,37148,3064,8.85,0.7361899876102538,1.7089214923627656,0.006153485395686011,0.008358556214083867,0.01051582344562822,0.30999024066902636
650000.0,0.022,0.0,31,4.041609956736588e-05,2.4146359805423068e-05,900031,37148,3253,11.03,0.7734349378101617,1.7164438899233359,0.006244989507442909,0.008074356616374798,0.010719174082685724,0.33206858973644227
650000.0,0.022,0.0,32,4.041609956736588e-05,2.4146359805423068e-05,900032,37148,3146,15.09,0.7365695347070764,1.7280533893489918,0.006262814183408984,0.008502678821626284,0.010822477276502833,0.31783210868488987
650000.0,0.022,0.0,33,4.041609956736588e-05,2.4146359805423068e-05,900033,37148,3214,7.58,0.7213603925762636,1.731004957282853,0.0060458916660905155,0.008381235965143917,0.01046546844519777,0.31072709708209345
650000.0,0.022,0.0,34,4.041609956736588e-05,2.4146359805423068e-05,900034,37148,3143,7.66,0.7613800963493901,1.7099889200443807,0.006155269168306707,0.008084357862544009,0.01052544207769526,0.32356156987333184
650000.0,0.022,0.0,35,4.041609956736588e-05,2.4146359805423068e-05,900035,37148,3233,9.02,0.7261515344872721,1.7532952806557662,0.006255424515366845,0.008614489150372358,0.010967606281291072,0.3220984923982536
650000.0,0.022,0.0,36,4.041609956736588e-05,2.4146359805423068e-05,900036,37148,3211,15.45,0.7334489581530377,1.7552661143375654,0.006212834825137832,0.008470711909909747,0.01090517844254079,0.3267626562731206
650000.0,0.022,0.0,37,4.041609956736588e-05,2.4146359805423068e-05,900037,37148,2997,9.54,0.778283559353521,1.652931399559335,0.006373139842399547,0.008188711897876112,0.010534362959284843,0.3088404207944515
650000.0,0.022,0.0,38,4.041609956736588e-05,2.4146359805423068e-05,900038,37148,3207,8.72,0.6985247015176251,1.7726058558065847,0.006010594070811799,0.008604697955209161,0.010654414246797334,0.31412034075856166
650000.0,0.022,0.0,39,4.041609956736588e-05,2.4146359805423068e-05,900039,37148,3061,7.5,0.7479583043725396,1.7036147412990408,0.006106592112339709,0.008164348302092206,0.010403280341682376,0.3141134360643367
650000.0,0.022,0.0,40,4.041609956736588e-05,2.4146359805423068e-05,900040,37148,3081,12.39,0.724492274654208,1.7791712542217677,0.006030208550087618,0.008323357972265156,0.010728773709278215,0.331071429443057
650000.0,0.022,0.0,41,4.041609956736588e-05,2.4146359805423068e-05,900041,37148,3121,6.6,0.7380148391961869,1.7139705045837745,0.006103819075455189,0.008270591255459305,0.010461765860645999,0.3130026745777842
650000.0,0.022,0.0,42,4.041609956736588e-05,2.4146359805423068e-05,900042,37148,3170,18.15,0.7568322867774976,1.7444851253506093,0.006265147077951331,0.008278118134504523,0.010929455885619931,0.3346756981932343
650000.0,0.022,0.0,43,4.041609956736588e-05,2.4146359805423068e-05,900043,37148,3139,14.13,0.745407515646166,1.7121886166225522,0.0060584423940538866,0.00812769158733535,0.010373196101562548,0.31621200242939906
650000.0,0.022,0.0,44,4.041609956736588e-05,2.4146359805423068e-05,900044,37148,3117,12.0,0.7381461850492098,1.7421099951739094,0.005881940714496323,0.007968530940933052,0.01024698770974441,0.324168621659504
650000.0,0.022,0.0,45,4.041609956736588e-05,2.4146359805423068e-05,900045,37148,3104,16.52,0.7700752695192252,1.660909309882428,0.006337328695474871,0.008229492552632424,0.010525728230099275,0.3080373666473666
650000.0,0.022,0.0,46,4.041609956736588e-05,2.4146359805423068e-05,900046,37148,3133,16.9,0.7329331976197961,1.7588862430650243,0.006081216662631366,0.008297095400208565,0.010696168329000109,0.32787557092493724
650000.0,0.022,0.0,47,4.041609956736588e-05,2.4146359805423068e-05,900047,37148,2971,10.96,0.7469269339138277,1.7133755318186625,0.006037159657775553,0.008082664292397916,0.010343921639315364,0.3174820709919829
650000.0,0.022,0.0,48,4.041609956736588e-05,2.4146359805423068e-05,900048,37148,3110,11.94,0.7552605717956665,1.7377202059621653,0.006193110946845085,0.00819996591655868,0.010761894030098182,0.3312944346436547
650000.0,0.022,0.0,49,4.041609956736588e-05,2.4146359805423068e-05,900049,37148,3009,14.85,0.7539216895772495,1.7131102463898618,0.0063262511636247515,0.008391125034712961,0.010837565689641348,0.3210017535393246
650000.0,0.022,0.0,50,4.041609956736588e-05,2.4146359805423068e-05,900050,37148,3053,10.97,0.7382367697673793,1.7163017477681712,0.006249653839154367,0.008465649633143649,0.0107262918070867,0.3140544870047338
650000.0,0.022,0.0,51,4.041609956736588e-05,2.4146359805423068e-05,900051,37148,3078,16.3,0.7331846575772998,1.7512111683067872,0.005911032854073212,0.008062133860800288,0.010351466750281353,0.3250634401886231
650000.0,0.022,0.0,52,4.041609956736588e-05,2.4146359805423068e-05,900052,37148,3034,13.46,0.7365371116334758,1.7321320511746117,0.005709655869420268,0.007752027398534635,0.00988987793260009,0.319421161732389
650000.0,0.022,0.0,53,4.041609956736588e-05,2.4146359805423068e-05,900053,37148,3134,10.36,0.782168445475199,1.694101337192602,0.006195422868900376,0.007920829464216503,0.010495674166677753,0.32752045705010846
650000.0,0.022,0.0,54,4.041609956736588e-05,2.4146359805423068e-05,900054,37148,3280,13.6,0.7548549914165108,1.7006088504282137,0.006239337644229487,0.008265610899016724,0.010610672818586587,0.3164925169571685
650000.0,0.022,0.0,55,4.041609956736588e-05,2.4146359805423068e-05,900055,37148,3239,11.12,0.7576082138875478,1.685646664970781,0.006309278653874794,0.008327891036845706,0.010635214521275386,0.3118535756171472
650000.0,0.022,0.0,56,4.041609956736588e-05,2.4146359805423068e-05,900056,37148,3104,6.84,0.7175518164024928,1.7531474537644707,0.006003184354456556,0.008366203272335136,0.010524467365494219,0.3173342114251062
650000.0,0.022,0.0,57,4.041609956736588e-05,2.4146359805423068e-05,900057,37148,3165,9.56,0.730675245223662,1.7434362568301711,0.006087385763315454,0.008331178321844044,0.010612969049075969,0.3207101604421022
650000.0,0.022,0.0,58,4.041609956736588e-05,2.4146359805423068e-05,900058,37148,3222,6.93,0.7454288282578636,1.69169789319956,0.0062103108497280745,0.008331192213537203,0.010505969780599353,0.3079409437233456
650000.0,0.022,0.0,59,4.041609956736588e-05,2.4146359805423068e-05,900059,37148,2980,6.01,0.7502073250625837,1.7101288111761492,0.006128361751407803,0.008168890847468815,0.01048028799639241,0.3178979144562578
650000.0,0.022,0.0,60,4.041609956736588e-05,2.4146359805423068e-05,900060,37148,3141,6.76,0.7476810682437948,1.735382987968867,0.006395167502105096,0.008553336139868447,0.011098064888364538,0.32652657051744705
650000.0,0.022,0.0,61,4.041609956736588e-05,2.4146359805423068e-05,900061,37148,3113,12.56,0.7594427596219608,1.7166897815633988,0.006216263718087429,0.008185295915102003,0.010671396404343989,0.3252260956529076
650000.0,0.022,0.0,62,4.041609956736588e-05,2.4146359805423068e-05,900062,37148,3086,8.88,0.7482815504494059,1.707051537900869,0.00620019824255104,0.008285916228760818,0.010584057945237018,0.3156634938005596
650000.0,0.022,0.0,63,4.041609956736588e-05,2.4146359805423068e-05,900063,37148,3245,8.28,0.7448127024768366,1.7374642710035777,0.006353629899610624,0.008530506902583633,0.011039204941753507,0.3258510517411407
