t_inv,p_hist,t_decline,t_fall,pi_i_over_pi_s,dxy_over_pi_i,f1_ratio,score,n
600000.0,0.7,100000.0,100000.0,1.1420228417962313,1.1891949290994346,0.9364169410114398,0.06279114484510859,48
600000.0,0.7,250000.0,100000.0,1.0736360215849083,1.2218199624046202,0.8739092970587203,0.060539089106737005,48
600000.0,0.8,100000.0,100000.0,1.3245784295849996,1.1707028724435624,0.9217289899237442,0.037983592592711925,48
600000.0,0.8,250000.0,100000.0,1.1978455759459739,1.2088863037845223,0.84745231503633,0.03038020083991313,48
600000.0,0.88,100000.0,100000.0,1.7127130811657325,1.1590957287746493,0.8544198744165825,0.09718151702029161,48
600000.0,0.88,250000.0,100000.0,1.4437750216193883,1.193800861267752,0.7898983044188767,0.025124264633387315,48
800000.0,0.7,100000.0,100000.0,1.3121796748696135,1.3451009575951165,0.8788716592813227,0.006011227376145307,48
800000.0,0.7,250000.0,100000.0,1.2295878761262697,1.38041077182349,0.821029325952647,0.008681646552885535,48
800000.0,0.8,100000.0,100000.0,1.6772222151103584,1.3067431829585077,0.8190176927440915,0.05953048986205634,48
800000.0,0.8,250000.0,100000.0,1.5194527269886742,1.3385026807093763,0.7594589297086987,0.02214557985059358,48
800000.0,0.88,100000.0,100000.0,2.334255014377303,1.2800337648841438,0.7409673510138758,0.5374220562711809,48
800000.0,0.88,250000.0,100000.0,2.040267498121581,1.3203415154418574,0.6793712501635201,0.28862916348214795,48
1000000.0,0.7,100000.0,100000.0,1.459140953550599,1.534941443694498,0.8328810831248014,0.017666827029341678,48
1000000.0,0.7,250000.0,100000.0,1.3630190235930932,1.587516838957541,0.7847399756671125,0.023908521361937045,48
1000000.0,0.8,100000.0,100000.0,1.9329647448334935,1.474889431203965,0.7721334157231007,0.18982629393435257,48
1000000.0,0.8,250000.0,100000.0,1.77581076777847,1.5196582073103972,0.7101997830007307,0.12510994231087788,48
1000000.0,0.88,100000.0,100000.0,2.6622873591548166,1.4357338348250561,0.7040663779967468,0.9521606254383752,48
1000000.0,0.88,250000.0,100000.0,2.34148613290088,1.4780839334106268,0.6450491756791292,0.5812837418466332,48
