t_arrive,p_start,t_inv,t_rise,s_het,pi_i_over_pi_s,dxy_over_pi_i,f1_I,f1_S,ratio,l1_contrast,n
150000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.7722626773408443,1.8247233228633923,0.5126567577928446,0.44702435631642035,1.1468206386275006,0.07939731452706511,48
150000.0,0.38,850000.0,50000.0,0.00043565035438318696,0.8555805219072036,1.6865171782520394,0.5026764091662701,0.4460144817340933,1.127040555301874,0.0968082924711191,48
150000.0,0.44,850000.0,50000.0,0.0004211744936102833,0.9355908184829088,1.5904071087352565,0.49791092760133365,0.448233166946719,1.1108301757163808,0.1107766260262435,48
200000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.7838829285580902,1.8096736815398664,0.5213512911306103,0.4395420726298882,1.186123749226638,0.047072713232541696,48
200000.0,0.38,850000.0,50000.0,0.00043565035438318696,0.8622637483923176,1.6821172784909042,0.5092635399406868,0.4393883247046858,1.1590283840221844,0.07038171686347074,48
200000.0,0.44,850000.0,50000.0,0.0004211744936102833,0.9412615869225407,1.5871362301510608,0.501730400986922,0.44363844806858765,1.1309443605964313,0.09394824149880401,48
250000.0,0.32,850000.0,50000.0,0.00044766638995567793,0.7994136649058143,1.7898093937220978,0.5273853566808738,0.43517670618029863,1.2118878358860783,0.027040831297120427,48
250000.0,0.38,850000.0,50000.0,0.00043565035438318696,0.8792935131434391,1.6659119323053473,0.5130739384607436,0.4373834307299116,1.1730529837504786,0.05875113187380862,48
250000.0,0.44,850000.0,50000.0,0.0004211744936102833,0.9547123790143249,1.5732459750110213,0.505065146577407,0.4405726686730845,1.146383292678052,0.0811471915268277,48
150000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.7556638770919125,1.9302959026898445,0.5199018130281585,0.4469186684134451,1.1633029671233082,0.06589366068852992,48
150000.0,0.38,900000.0,50000.0,0.00043565035438318696,0.8364142278100575,1.7809753003567501,0.5120876583963582,0.4493808613059307,1.139540426595377,0.08471855315461786,48
150000.0,0.44,900000.0,50000.0,0.0004211744936102833,0.9315207570067953,1.6669301598144095,0.5041919888100806,0.4503007660906808,1.1196782834443308,0.10234970189667306,48
200000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.7646946275354048,1.9275815364392042,0.5303306617173837,0.4420095358908293,1.1998172407039849,0.03348989568236365,48
200000.0,0.38,900000.0,50000.0,0.00043565035438318696,0.8551927280024012,1.7689222488290348,0.5143739326732019,0.4440883435063544,1.1582693853477417,0.06956096900177783,48
200000.0,0.44,900000.0,50000.0,0.0004211744936102833,0.9422570113580259,1.6596913513564264,0.5062287303380401,0.4471010651354004,1.1322467554058129,0.09187681693019326,48
250000.0,0.32,900000.0,50000.0,0.00044766638995567793,0.7787826476075094,1.8998943369244496,0.5336302384546175,0.4362895459624791,1.223110302304859,0.017667957918416972,48
250000.0,0.38,900000.0,50000.0,0.00043565035438318696,0.8637019362655628,1.7542659189097296,0.5196968759447871,0.43920389092575074,1.183270200201036,0.04914617729739989,48
250000.0,0.44,900000.0,50000.0,0.0004211744936102833,0.9526465678861172,1.6502842182351969,0.5095494811717166,0.4454784191601445,1.1438252881752713,0.08199002331232856,48
150000.0,0.32,950000.0,50000.0,0.00044766638995567793,0.738684441802509,2.0416479973962853,0.5293018998714737,0.45037261009361645,1.1752533080585221,0.05494767585696894,48
150000.0,0.38,950000.0,50000.0,0.00043565035438318696,0.831394759243388,1.8731237113877175,0.5164384644463014,0.45409632822388246,1.137288351276169,0.08544787489063492,48
150000.0,0.44,950000.0,50000.0,0.0004211744936102833,0.9174158023830049,1.755843789548912,0.5082542970866986,0.45435933670216955,1.118617481871748,0.10234222656641483,48
200000.0,0.32,950000.0,50000.0,0.00044766638995567793,0.7489193831599671,2.023407639145266,0.5364630187253699,0.44317843365926984,1.210489901992434,0.023562977203272703,48
200000.0,0.38,950000.0,50000.0,0.00043565035438318696,0.836324986588402,1.8674547542973325,0.5228209298504478,0.447055045525013,1.1694777524241042,0.05860037868460329,48
200000.0,0.44,950000.0,50000.0,0.0004211744936102833,0.9371670266758589,1.7398392012659685,0.5106381152937077,0.4510559301965697,1.1320948935782136,0.09096777714119646,48
250000.0,0.32,950000.0,50000.0,0.00044766638995567793,0.762717355252065,2.002159648372757,0.5420187715704619,0.4390173932178402,1.2346179899562941,0.007190346374561844,48
250000.0,0.38,950000.0,50000.0,0.00043565035438318696,0.8499640093577252,1.857348746948036,0.526687026565613,0.4430613367328649,1.188745175666656,0.04288076766997651,48
250000.0,0.44,950000.0,50000.0,0.0004211744936102833,0.9394997485808276,1.730171865142365,0.515681559539441,0.4466996315347525,1.1544257553284365,0.07216829132609615,48
