t_arrive,p_start,t_inv,t_rise,s_het,pi_i_over_pi_s,dxy_over_pi_i,f1_I,f1_S,ratio,l1_contrast,n
0.0,0.027,730000.0,50000.0,0.0005210404659182323,0.15069174643717023,7.842409191665111,0.5943981183498384,0.5013305422224965,1.1856411454900693,0.0751332063868824,48
0.0,0.1,730000.0,50000.0,0.0004905148117083192,0.3625231210604752,3.3104999149659267,0.4871815631181686,0.49573062786388683,0.9827546165897469,0.22723027682690916,48
0.0,0.25,730000.0,50000.0,0.00046033986462624054,0.6967862684722821,1.7760154967428283,0.44854755164514387,0.48279529573918767,0.9290636333943385,0.2786276355235602,48
100000.0,0.027,730000.0,50000.0,0.0005210404659182323,0.19147571388209914,6.27482242614536,0.7425496207486589,0.4613424513033256,1.6095410657547402,0.3522821915551939,48
100000.0,0.1,730000.0,50000.0,0.0004905148117083192,0.3993824610866527,3.049415121193982,0.582968863112313,0.4597004468952928,1.2681494374207065,0.06372922310903614,48
100000.0,0.25,730000.0,50000.0,0.00046033986462624054,0.719158530723894,1.7421523073756457,0.48989470982995614,0.4509247213992628,1.086422381788618,0.14683284451911022,48
250000.0,0.027,730000.0,50000.0,0.0005210404659182323,0.26223634772358356,4.724859930563254,0.7634394632174744,0.4291318794905057,1.7790322735376387,0.45848302011846465,48
250000.0,0.1,730000.0,50000.0,0.0004905148117083192,0.4639826630275064,2.6973404960639713,0.6279844304179961,0.4284895465959345,1.4655770144380795,0.18885762030865033,48
250000.0,0.25,730000.0,50000.0,0.00046033986462624054,0.7722632380420618,1.6688822433825132,0.5184827017833411,0.42848843699121,1.210027289007048,0.04141091566667232,48
400000.0,0.027,730000.0,50000.0,0.0005210404659182323,0.3518859350457308,3.683186327861929,0.7280093440684569,0.4218276339480459,1.7258455479901575,0.4347850359944119,48
400000.0,0.1,730000.0,50000.0,0.0004905148117083192,0.5742794078960908,2.280035327300508,0.6115212717338523,0.42332711019657254,1.4445596726604435,0.18550558702084338,48
400000.0,0.25,730000.0,50000.0,0.00046033986462624054,0.8511254631293913,1.5669708554802089,0.5216748903783098,0.4253951084580023,1.2263302515849517,0.02368404866739965,48
550000.0,0.027,730000.0,50000.0,0.0005210404659182323,0.47491179480330253,2.9179363856779053,0.6749488079891253,0.4290900851884484,1.5729769372151778,0.34170570093428193,48
550000.0,0.1,730000.0,50000.0,0.0004905148117083192,0.7622820968939781,1.8261329814327916,0.562906139171564,0.4295027809838806,1.3105995213397466,0.09923086965963754,48
550000.0,0.25,730000.0,50000.0,0.00046033986462624054,0.9777039175141361,1.4373203401976993,0.5048009974164113,0.4316394035032926,1.1694970230227384,0.06380895950923532,48
